Round 1
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
5,Prometheus Out of Bounds,Brock Bowers TE | LV  (Keeper),0 sec,#10 TE,186.6,177.8
6,Ruff Necks,Jerry Jeudy WR | CLE,43 sec,#54 WR,122.7,11.6
7,The Young Core,Baker Mayfield QB | TB,1 min 13 sec,#13 QB,339.85,153.9
8,Chicken Dinner,Tyrone Tracy Jr. RB | NYG,16 sec,#29 RB,167.6,29.2
9,Pallino Primos,Dak Prescott QB | DAL ,18 sec,#6 QB,426.1,380.45
10,OnStar,Travis Hunter WR | JAC ,2 min 13 sec,#95 WR,68.8,68.8
11,jerseyj,Joe Mixon RB | HOU ,3 sec, RB,0,0
12,Dude Abides,Tyler Warren TE | IND,7 sec,#8 TE,188.5,165.6
Round 7
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,Jonathan Taylor RB | IND (Keeper),0 sec,#4 RB,399.3,380.3
2,jerseyj,Eagles DST | PHI ,5 sec,#9 DST,262,193.7
3,OnStar,Mark Andrews TE | BAL ,16 sec,#18 TE,132,54.8
4,Pallino Primos,Calvin Ridley WR | TEN ,21 sec,#109 WR,52.3,3.7
5,Chicken Dinner,Emeka Egbuka WR | TB,47 sec,#23 WR,213.7,211.9
6,The Young Core,Jacory Croskey-Merritt RB | WAS,1 min 10 sec,#31 RB,153.4,76.5
7,Ruff Necks,Deebo Samuel WR | WAS,16 sec,#33 WR,188.6,125.4
8,Prometheus Out of Bounds,Ricky Pearsall WR | SF,7 sec,#67 WR,99,29.1
9,Steel Your League,Kaleb Johnson RB | PIT,35 sec,#114 RB,9,0
10,Rumblin' Stumblers,Jaylen Warren RB | PIT ,1 min 16 sec,#17 RB,235,214.4
11,Three-Eyed RAVEN,Tucker Kraft TE | GB ,51 sec,#21 TE,127.2,127.2
12,Mulvihill Machine,Bo Nix QB | DEN ,1 min 23 sec,#8 QB,426.3,259.55
Round 8
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Mulvihill Machine,Zach Charbonnet RB | SEA ,52 sec,#25 RB,188.4,106.4
2,Three-Eyed RAVEN,Brian Thomas Jr. WR | JAC (Keeper),0 sec,#43 WR,148.9,36
