Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Prometheus Out of Bounds,Christian McCaffrey,RB,False,False,,,,
1,2,2,jerseyj,Tyreek Hill,WR,False,False,,,,
1,3,3,Rumblin' Stumblers,Breece Hall,RB,False,False,,,,
1,4,4,Heathens,Patrick Mahomes,QB,False,False,,,,
1,5,5,Three-Eyed RAVEN,CeeDee Lamb,WR,False,False,,,,
1,6,6,Mulvihill Machine,Bijan Robinson,RB,False,False,,,,
1,7,7,Steel Your League,Amon-Ra St. Brown,WR,False,False,,,,
1,8,8,Ruff Necks,Justin Jefferson,WR,False,False,,,,
1,9,9,Chicken Dinner,Ja'Marr Chase,WR,False,False,,,,
1,10,10,Dude Abides,Saquon Barkley,RB,False,False,,,,
1,11,11,OnStar,Josh Allen,QB,False,False,,,,
1,12,12,Pallino Primos,Marvin Harrison Jr.,WR,False,False,,,,
2,1,13,Pallino Primos,A.J. Brown,WR,False,False,,,,
2,2,14,OnStar,James Cook,RB,False,False,,,,
2,3,15,Dude Abides,Drake London,WR,False,False,,,,
2,4,16,Chicken Dinner,Travis Etienne,RB,False,False,,,,
2,5,17,Ruff Necks,Josh Jacobs,RB,False,False,,,,
2,6,18,Steel Your League,Nico Collins,WR,False,False,,,,
2,7,19,Mulvihill Machine,Derrick Henry,RB,False,False,,,,
2,8,20,Three-Eyed RAVEN,Cooper Kupp,WR,False,False,,,,
2,9,21,Heathens,C.J. Stroud,QB,False,False,,,,
2,10,22,Rumblin' Stumblers,Jahmyr Gibbs,RB,False,False,,,,
2,11,23,jerseyj,Davante Adams,WR,False,False,,,,
2,12,24,Prometheus Out of Bounds,Jalen Hurts,QB,False,False,,,,
3,1,25,Prometheus Out of Bounds,Kenneth Walker III,RB,False,False,,,,
3,2,26,jerseyj,Travis Kelce,TE,False,False,,,,
3,3,27,Rumblin' Stumblers,Jaylen Waddle,WR,False,False,,,,
3,4,28,Heathens,Stefon Diggs,WR,False,False,,,,
3,5,29,Three-Eyed RAVEN,Lamar Jackson,QB,False,False,,,,
3,6,30,Mulvihill Machine,Deebo Samuel,WR,False,False,,,,
3,7,31,Steel Your League,Mike Evans,WR,False,False,,,,
3,8,32,Ruff Necks,Joe Mixon,RB,False,False,,,,
3,9,33,Chicken Dinner,Rachaad White,RB,False,False,,,,
3,10,34,Dude Abides,Dalton Kincaid,TE,False,False,,,,
3,11,35,OnStar,Alvin Kamara,RB,False,False,,,,
3,12,36,Pallino Primos,Terry McLaurin,WR,False,False,,,,
4,1,37,Pallino Primos,Zamir White,RB,False,False,,,,
4,2,38,OnStar,James Conner,RB,False,False,,,,
4,3,39,Dude Abides,Anthony Richardson,QB,False,False,,,,
4,4,40,Chicken Dinner,Malik Nabers,WR,False,False,,,,
4,5,41,Ruff Necks,Trey McBride,TE,False,False,,,,
4,6,42,Steel Your League,Aaron Jones,RB,False,False,,,,
4,7,43,Mulvihill Machine,DK Metcalf,WR,False,False,,,,
4,8,44,Three-Eyed RAVEN,Rashee Rice,WR,False,False,,,,
4,9,45,Heathens,DeVonta Smith,WR,False,False,,,,
4,10,46,Rumblin' Stumblers,Amari Cooper,WR,False,False,,,,
4,11,47,jerseyj,DJ Moore,WR,False,False,,,,
4,12,48,Prometheus Out of Bounds,Garrett Wilson,WR,False,False,,,,
5,1,49,Prometheus Out of Bounds,George Pickens,WR,False,False,,,,
5,2,50,jerseyj,Javonte Williams,RB,False,False,,,,
5,3,51,Rumblin' Stumblers,Joe Burrow,QB,False,False,,,,
5,4,52,Heathens,Tee Higgins,WR,False,False,,,,
5,5,53,Three-Eyed RAVEN,Mark Andrews,TE,False,False,,,,
5,6,54,Mulvihill Machine,George Kittle,TE,False,False,,,,
5,7,55,Steel Your League,Najee Harris,RB,False,False,,,,
5,8,56,Ruff Necks,Tank Dell,WR,False,False,,,,
5,9,57,Chicken Dinner,Kyler Murray,QB,False,False,,,,
5,10,58,Dude Abides,Puka Nacua,WR,False,False,,,,
5,11,59,OnStar,Evan Engram,TE,False,False,,,,
5,12,60,Pallino Primos,Kyren Williams,RB,False,False,,,,
6,1,61,Pallino Primos,Jordan Love,QB,False,False,,,,
6,2,62,OnStar,Bills,DST,False,False,,,,
6,3,63,Dude Abides,Diontae Johnson,WR,False,False,,,,
6,4,64,Chicken Dinner,Michael Pittman,WR,False,False,,,,
6,5,65,Ruff Necks,Tony Pollard,RB,False,False,,,,
6,6,66,Steel Your League,Kyle Pitts,TE,False,False,,,,
6,7,67,Mulvihill Machine,Calvin Ridley,WR,False,False,,,,
6,8,68,Three-Eyed RAVEN,Rhamondre Stevenson,RB,False,False,,,,
6,9,69,Heathens,Tua Tagovailoa,QB,False,False,,,,
6,10,70,Rumblin' Stumblers,David Njoku,TE,False,False,,,,
6,11,71,jerseyj,Jayden Daniels,QB,False,False,,,,
6,12,72,Prometheus Out of Bounds,Chris Godwin,WR,False,False,,,,
7,1,73,Prometheus Out of Bounds,Brock Bowers,TE,False,False,,,,
7,2,74,jerseyj,David Montgomery,RB,False,False,,,,
