Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Mulvihill Machine,Christian McCaffrey,RB,False,False,,,,
1,2,2,Dude Abides,Dalvin Cook,RB,False,False,,,,
1,3,3,Chicken Dinner,Alvin Kamara,RB,False,False,,,,
1,4,4,OnStar,Ezekiel Elliott,RB,False,False,,,,
1,5,5,Steel Your League,Nick Chubb,RB,False,False,,,,
1,6,6,Prometheus Out of Bounds,Travis Kelce,TE,False,False,,,,
1,7,7,Three-Eyed RAVEN,Aaron Jones,RB,False,False,,,,
1,8,8,Juggernaut,Patrick Mahomes,QB,False,False,,,,
1,9,9,Rumblin' Stumblers,Joe Mixon,RB,False,False,,,,
1,10,10,Pallino Primos,Davante Adams,WR,False,False,,,,
1,11,11,Soaring Marmots,Jonathan Taylor,RB,False,False,,,,
1,12,12,Ruff Necks,Najee Harris,RB,False,False,,,,
2,1,13,Ruff Necks,Tyreek Hill,WR,False,False,,,,
2,2,14,Soaring Marmots,Kyler Murray,QB,False,False,,,,
2,3,15,Pallino Primos,Saquon Barkley,RB,False,False,,,,
2,4,16,Rumblin' Stumblers,Chris Carson,RB,False,False,,,,
2,5,17,Juggernaut,George Kittle,TE,False,False,,,,
2,6,18,Three-Eyed RAVEN,Calvin Ridley,WR,False,False,,,,
2,7,19,Prometheus Out of Bounds,Clyde Edwards-Helaire,RB,False,False,,,,
2,8,20,Steel Your League,DeAndre Hopkins,WR,False,False,,,,
2,9,21,OnStar,Allen Robinson,WR,False,False,,,,
2,10,22,Chicken Dinner,D'Andre Swift,RB,False,False,,,,
2,11,23,Dude Abides,Keenan Allen,WR,False,False,,,,
2,12,24,Mulvihill Machine,Robert Woods,WR,False,False,,,,
3,1,25,Mulvihill Machine,Tyler Lockett,WR,False,False,,,,
3,2,26,Dude Abides,Gus Edwards,RB,False,False,,,,
3,3,27,Chicken Dinner,Miles Sanders,RB,False,False,,,,
3,4,28,OnStar,Mark Andrews,TE,False,False,,,,
3,5,29,Steel Your League,Amari Cooper,WR,False,False,,,,
3,6,30,Prometheus Out of Bounds,(Skipped Pick),,False,False,,,,
3,7,31,Three-Eyed RAVEN,Kyle Pitts,TE,False,False,,,,
3,8,32,Juggernaut,Justin Herbert,QB,False,False,,,,
3,9,33,Rumblin' Stumblers,(Skipped Pick),,False,False,,,,
3,10,34,Pallino Primos,Myles Gaskin,RB,False,False,,,,
3,11,35,Soaring Marmots,Cooper Kupp,WR,False,False,,,,
3,12,36,Ruff Necks,Mike Davis,RB,False,False,,,,
4,1,37,Ruff Necks,(Skipped Pick),,False,False,,,,
4,2,38,Soaring Marmots,Damien Harris,RB,False,False,,,,
4,3,39,Pallino Primos,Diontae Johnson,WR,False,False,,,,
4,4,40,Rumblin' Stumblers,Chase Claypool,WR,False,False,,,,
4,5,41,Juggernaut,Raheem Mostert,RB,False,False,,,,
4,6,42,Three-Eyed RAVEN,Chase Edmonds,RB,False,False,,,,
4,7,43,Prometheus Out of Bounds,Chris Godwin,WR,False,False,,,,
4,8,44,Steel Your League,Logan Thomas,TE,False,False,,,,
4,9,45,OnStar,DJ Moore,WR,False,False,,,,
4,10,46,Chicken Dinner,Julio Jones,WR,False,False,,,,
4,11,47,Dude Abides,(Skipped Pick),,False,False,,,,
4,12,48,Mulvihill Machine,Josh Jacobs,RB,False,False,,,,
5,1,49,Mulvihill Machine,Dak Prescott,QB,False,False,,,,
5,2,50,Dude Abides,(Skipped Pick),,False,False,,,,
5,3,51,Chicken Dinner,Tom Brady,QB,False,False,,,,
5,4,52,OnStar,(Skipped Pick),,False,False,,,,
5,5,53,Steel Your League,(Skipped Pick),,False,False,,,,
5,6,54,Prometheus Out of Bounds,(Skipped Pick),,False,False,,,,
5,7,55,Three-Eyed RAVEN,(Skipped Pick),,False,False,,,,
5,8,56,Juggernaut,Kareem Hunt,RB,False,False,,,,
5,9,57,Rumblin' Stumblers,Mike Evans,WR,False,False,,,,
5,10,58,Pallino Primos,(Skipped Pick),,False,False,,,,
5,11,59,Soaring Marmots,Adam Thielen,WR,False,False,,,,
5,12,60,Ruff Necks,Jerry Jeudy,WR,False,False,,,,
6,1,61,Ruff Necks,Ja'Marr Chase,WR,False,False,,,,
6,2,62,Soaring Marmots,Noah Fant,TE,False,False,,,,
6,3,63,Pallino Primos,Tyler Higbee,TE,False,False,,,,
6,4,64,Rumblin' Stumblers,Rams,DST,False,False,,,,
6,5,65,Juggernaut,Javonte Williams,RB,False,False,,,,
6,6,66,Three-Eyed RAVEN,Brandon Aiyuk,WR,False,False,,,,
6,7,67,Prometheus Out of Bounds,Darrell Henderson Jr.,RB,False,False,,,,
6,8,68,Steel Your League,Melvin Gordon,RB,False,False,,,,
6,9,69,OnStar,Tyler Boyd,WR,False,False,,,,
6,10,70,Chicken Dinner,Ravens,DST,False,False,,,,
6,11,71,Dude Abides,Robert Tonyan,TE,False,False,,,,
6,12,72,Mulvihill Machine,Trey Sermon,RB,False,False,,,,
7,1,73,Mulvihill Machine,Dallas Goedert,TE,False,False,,,,
7,2,74,Dude Abides,Ryan Tannehill,QB,False,False,,,,
7,3,75,Chicken Dinner,Hunter Henry,TE,False,False,,,,
7,4,76,OnStar,Jalen Hurts,QB,False,False,,,,
7,5,77,Steel Your League,Matthew Stafford,QB,False,False,,,,
7,6,78,Prometheus Out of Bounds,Tee Higgins,WR,False,False,,,,
7,7,79,Three-Eyed RAVEN,Ronald Jones,RB,False,False,,,,
7,8,80,Juggernaut,Buccaneers,DST,False,False,,,,
7,9,81,Rumblin' Stumblers,Courtland Sutton,WR,False,False,,,,
7,10,82,Pallino Primos,Kenny Golladay,WR,False,False,,,,
7,11,83,Soaring Marmots,Commanders,DST,False,False,,,,
7,12,84,Ruff Necks,Trevor Lawrence,QB,False,False,,,,
8,1,85,Ruff Necks,JuJu Smith-Schuster,WR,False,False,,,,
8,2,86,Soaring Marmots,Robbie Chosen,WR,False,False,,,,
8,3,87,Pallino Primos,(Skipped Pick),,False,False,,,,
8,4,88,Rumblin' Stumblers,(Skipped Pick),,False,False,,,,
8,5,89,Juggernaut,Marvin Jones,WR,False,False,,,,
8,6,90,Three-Eyed RAVEN,Corey Davis,WR,False,False,,,,
8,7,91,Prometheus Out of Bounds,Jamaal Williams,RB,False,False,,,,
8,8,92,Steel Your League,Steelers,DST,False,False,,,,
8,9,93,OnStar,(Skipped Pick),,False,False,,,,
8,10,94,Chicken Dinner,(Skipped Pick),,False,False,,,,
8,11,95,Dude Abides,Antonio Brown,WR,False,False,,,,
8,12,96,Mulvihill Machine,Broncos,DST,False,False,,,,
9,1,97,Mulvihill Machine,Jaylen Waddle,WR,False,False,,,,
9,2,98,Dude Abides,49ers,DST,False,False,,,,
9,3,99,Chicken Dinner,Michael Carter,RB,False,False,,,,
9,4,100,OnStar,James White,RB,False,False,,,,
9,5,101,Steel Your League,Leonard Fournette,RB,False,False,,,,
9,6,102,Prometheus Out of Bounds,Joe Burrow,QB,False,False,,,,
9,7,103,Three-Eyed RAVEN,(Skipped Pick),,False,False,,,,
9,8,104,Juggernaut,Jamison Crowder,WR,False,False,,,,
9,9,105,Rumblin' Stumblers,Marquez Callaway,WR,False,False,,,,
9,10,106,Pallino Primos,Jonnu Smith,TE,False,False,,,,
9,11,107,Soaring Marmots,AJ Dillon,RB,False,False,,,,
9,12,108,Ruff Necks,Odell Beckham Jr.,WR,False,False,,,,
10,1,109,Ruff Necks,James Conner,RB,False,False,,,,
10,2,110,Soaring Marmots,Laviska Shenault Jr.,WR,False,False,,,,
10,3,111,Pallino Primos,Dolphins,DST,False,False,,,,
10,4,112,Rumblin' Stumblers,Emmanuel Sanders,WR,False,False,,,,
10,5,113,Juggernaut,J.D. McKissic,RB,False,False,,,,
10,6,114,Three-Eyed RAVEN,Sony Michel,RB,False,False,,,,
10,7,115,Prometheus Out of Bounds,Devin Singletary,RB,False,False,,,,
10,8,116,Steel Your League,Deebo Samuel,WR,False,False,,,,
10,9,117,OnStar,Greg Zuerlein,K,False,False,,,,
10,10,118,Chicken Dinner,Brandin Cooks,WR,False,False,,,,
10,11,119,Dude Abides,Phillip Lindsay,RB,False,False,,,,
10,12,120,Mulvihill Machine,DeVonta Smith,WR,False,False,,,,
11,1,121,Mulvihill Machine,Kenyan Drake,RB,False,False,,,,
11,2,122,Dude Abides,Michael Pittman,WR,False,False,,,,
11,3,123,Chicken Dinner,Curtis Samuel,WR,False,False,,,,
11,4,124,OnStar,Nyheim Miller-Hines,RB,False,False,,,,
11,5,125,Steel Your League,Justin Tucker,K,False,False,,,,
11,6,126,Prometheus Out of Bounds,Will Fuller,WR,False,False,,,,
11,7,127,Three-Eyed RAVEN,Michael Thomas,WR,False,False,,,,
11,8,128,Juggernaut,Giovani Bernard,RB,False,False,,,,
11,9,129,Rumblin' Stumblers,Jared Cook,TE,False,False,,,,
11,10,130,Pallino Primos,DJ Chark,WR,False,False,,,,
11,11,131,Soaring Marmots,Harrison Butker,K,False,False,,,,
11,12,132,Ruff Necks,(Skipped Pick),,False,False,,,,
12,1,133,Ruff Necks,Patriots,DST,False,False,,,,
12,2,134,Soaring Marmots,Jakobi Meyers,WR,False,False,,,,
12,3,135,Pallino Primos,Darnell Mooney,WR,False,False,,,,
12,4,136,Rumblin' Stumblers,Tony Jones,RB,False,False,,,,
12,5,137,Juggernaut,Mike Gesicki,TE,False,False,,,,
12,6,138,Three-Eyed RAVEN,Marquise Brown,WR,False,False,,,,
12,7,139,Prometheus Out of Bounds,Justin Fields,QB,False,False,,,,
12,8,140,Steel Your League,Kirk Cousins,QB,False,False,,,,
12,9,141,OnStar,Saints,DST,False,False,,,,
12,10,142,Chicken Dinner,Zack Moss,RB,False,False,,,,
12,11,143,Dude Abides,Trey Lance,QB,False,False,,,,
12,12,144,Mulvihill Machine,Younghoe Koo,K,False,False,,,,
13,1,145,Mulvihill Machine,Rob Gronkowski,TE,False,False,,,,
13,2,146,Dude Abides,Ryan Succop,K,False,False,,,,
13,3,147,Chicken Dinner,Ty'Son Williams,RB,False,False,,,,
13,4,148,OnStar,Zach Ertz,TE,False,False,,,,
13,5,149,Steel Your League,Jarvis Landry,WR,False,False,,,,
13,6,150,Prometheus Out of Bounds,Jason Sanders,K,False,False,,,,
13,7,151,Three-Eyed RAVEN,Tyler Bass,K,False,False,,,,
