Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
7,6,Prometheus Out of Bounds,Tee Higgins,WR,CIN,7 sec,279.0,75.7
7,7,Three-Eyed RAVEN,Ronald Jones RB •,,,32 sec,79.2,19.8
7,8,Juggernaut,*Buccaneers,DST,TB,0 sec,261.7,244.0
7,9,Rumblin' Stumblers,Courtland Sutton,WR,DEN,5 sec,157.3,90.5
7,10,Pallino Primos,Kenny Golladay WR •,,,24 sec,88.9,8.0
7,11,Soaring Marmots,Commanders,DST,WAS,2 sec,160.1,14.0
7,12,Ruff Necks,*Trevor Lawrence,QB,JAC,60 sec,214.8,42.6
8,1,Ruff Necks,JuJu Smith-Schuster,WR,KC,5 sec,42.4,21.9
8,2,Soaring Marmots,Robbie Chosen,WR,WAS,6 sec,122.5,27.7
8,3,Pallino Primos,(Skipped Pick),,,3 sec,0.0,0.0
8,4,Rumblin' Stumblers,(Skipped Pick),,,1 sec,0.0,0.0
8,5,Juggernaut,*Marvin Jones WR •,,,1 sec,163.4,143.6
8,6,Three-Eyed RAVEN,Corey Davis WR •,,,21 sec,110.2,17.8
8,7,Prometheus Out of Bounds,Jamaal Williams,RB,NO,19 sec,113.8,65.9
8,8,Steel Your League,Steelers,DST,PIT,5 sec,218.5,175.1
8,9,OnStar,(Skipped Pick),,,5 sec,0.0,0.0
8,10,Chicken Dinner,(Skipped Pick),,,3 sec,0.0,0.0
8,11,Dude Abides,Antonio Brown,WR,TB,18 sec,138.1,138.1
8,12,Mulvihill Machine,Broncos,DST,DEN,12 sec,227.1,47.1
9,1,Mulvihill Machine,Jaylen Waddle,WR,DEN,17 sec,237.1,143.0
9,2,Dude Abides,49ers,DST,SF,11 sec,291.9,237.6
9,3,Chicken Dinner,Michael Carter,RB,TEN,12 sec,157.9,17.1
9,4,OnStar,James White RB •,,,58 sec,31.2,0.0
9,5,Steel Your League,Leonard Fournette RB •,,,4 sec,266.6,237.7
9,6,Prometheus Out of Bounds,Joe Burrow,QB,CIN,4 sec,509.6,165.8
9,7,Three-Eyed RAVEN,(Skipped Pick),,,5 min 23 sec,0.0,0.0
9,8,Juggernaut,*Jamison Crowder,WR,WAS,0 sec,107.1,80.6
9,9,Rumblin' Stumblers,Marquez Callaway,WR,LV,30 sec,156.8,27.5
9,10,Pallino Primos,Jonnu Smith,TE,PIT,2 sec,67.0,0.0
9,11,Soaring Marmots,AJ Dillon,RB,CAR,11 sec,186.4,131.6
9,12,Ruff Necks,Odell Beckham Jr.,WR,MIA,18 sec,168.0,35.4
10,1,Ruff Necks,James Conner,RB,ARI,8 sec,239.8,124.5
10,2,Soaring Marmots,Laviska Shenault Jr.,WR,BUF,14 sec,116.5,5.1
10,3,Pallino Primos,Dolphins,DST,MIA,26 sec,253.8,17.0
10,4,Rumblin' Stumblers,Emmanuel Sanders WR •,,,5 sec,143.3,49.6
10,5,Juggernaut,*J.D. McKissic RB •,,,0 sec,128.0,74.0
10,6,Three-Eyed RAVEN,Sony Michel RB •,,,1 min 10 sec,158.8,33.4
10,7,Prometheus Out of Bounds,Devin Singletary,RB,NYG,14 sec,203.2,102.7
10,8,Steel Your League,Deebo Samuel,WR,WAS,3 sec,392.1,274.8
10,9,OnStar,Greg Zuerlein,K,NYJ,14 sec,143.0,8.0
10,10,Chicken Dinner,Brandin Cooks,WR,BUF,6 sec,246.2,129.5
10,11,Dude Abides,Phillip Lindsay RB •,,,10 sec,41.8,0.0
10,12,Mulvihill Machine,DeVonta Smith,WR,PHI,28 sec,200.5,160.8
11,1,Mulvihill Machine,Kenyan Drake RB •,,,47 sec,102.5,27.6
11,2,Dude Abides,Michael Pittman,WR,PIT,6 sec,228.2,17.7
11,3,Chicken Dinner,Curtis Samuel,WR,BUF,10 sec,10.0,0.0
11,4,OnStar,Nyheim Miller-Hines,RB,NO,42 sec,109.9,17.2
11,5,Steel Your League,Justin Tucker,K,BAL,7 sec,160.0,160.0
11,6,Prometheus Out of Bounds,Will Fuller WR •,,,1 min 15 sec,8.6,0.0
11,7,Three-Eyed RAVEN,Michael Thomas,WR,NO,2 min 20 sec,0.0,0.0
11,8,Juggernaut,*Giovani Bernard RB •,,,0 sec,78.4,0.0
11,9,Rumblin' Stumblers,Jared Cook TE •,,,45 sec,120.4,12.5
11,10,Pallino Primos,DJ Chark,WR,ATL,11 sec,34.4,17.6
11,11,Soaring Marmots,Harrison Butker,K,KC,2 sec,149.0,91.0
11,12,Ruff Necks,(Skipped Pick),,,19 sec,0.0,0.0
12,1,Ruff Necks,Patriots,DST,NE,8 sec,299.2,185.7
12,2,Soaring Marmots,Jakobi Meyers,WR,JAC,4 sec,187.8,88.8
12,3,Pallino Primos,Darnell Mooney,WR,NYG,46 sec,212.1,33.1
12,4,Rumblin' Stumblers,Tony Jones,RB,ARI,5 sec,20.4,0.0
12,5,Juggernaut,*Mike Gesicki,TE,CIN,0 sec,165.8,55.8
12,6,Three-Eyed RAVEN,Marquise Brown,WR,PHI,3 sec,235.6,178.5
12,7,Prometheus Out of Bounds,Justin Fields,QB,KC,5 sec,130.5,0.0
12,8,Steel Your League,Kirk Cousins,QB,LV,8 sec,388.9,59.0
12,9,OnStar,Saints,DST,NO,19 sec,256.6,17.0
12,10,Chicken Dinner,Zack Moss,RB,CIN,1 min 56 sec,101.8,19.0
12,11,Dude Abides,Trey Lance,QB,LAC,5 sec,80.0,25.6
12,12,Mulvihill Machine,Younghoe Koo,K,NYG,43 sec,114.0,63.0
13,1,Mulvihill Machine,Rob Gronkowski TE •,,,26 sec,174.6,131.5
13,2,Dude Abides,Ryan Succop K •,,,5 sec,133.0,67.0
13,3,Chicken Dinner,*Ty'Son Williams RB •,,,1 sec,42.5,0.0
13,4,OnStar,Zach Ertz,TE,WAS,42 sec,170.4,27.1
13,5,Steel Your League,Jarvis Landry WR •,,,10 sec,117.5,19.2
13,6,Prometheus Out of Bounds,Jason Sanders,K,MIA,34 sec,105.0,6.0
13,7,Three-Eyed RAVEN,Tyler Bass,K,BUF,4 sec,141.0,136.0
13,8,Juggernaut,*David Johnson RB •,,,0 sec,74.8,15.9
13,9,Rumblin' Stumblers,Michael Gallup,WR,WAS,47 sec,96.5,55.6
13,10,Pallino Primos,Brandon McManus,K,GB,11 sec,129.0,45.0
13,11,Soaring Marmots,Matt Ryan QB •,,,2 sec,272.8,57.5
13,12,Ruff Necks,Rodrigo Blankenship K •,,,30 sec,45.0,45.0
14,1,Ruff Necks,Ben Roethlisberger QB •,,,19 sec,280.1,10.4
14,2,Soaring Marmots,Tony Pollard,RB,TEN,5 sec,175.2,81.0
14,3,Pallino Primos,Elijah Moore,WR,PHI,27 sec,145.5,29.9
14,4,Rumblin' Stumblers,Robbie Gould K •,,,4 sec,131.0,14.0
14,5,Juggernaut,*Evan Engram,TE,DEN,1 sec,101.4,1.8
14,6,Three-Eyed RAVEN,Colts,DST,IND,5 sec,252.5,22.0
14,7,Prometheus Out of Bounds,Gerald Everett,TE,CHI,4 sec,115.3,16.8
14,8,Steel Your League,Pat Freiermuth,TE,PIT,7 sec,146.9,56.7
14,9,OnStar,Mark Ingram RB •,,,42 sec,109.0,5.7
14,10,Chicken Dinner,*Daniel Carlson,K,LV,0 sec,173.0,6.0
14,11,Dude Abides,Rondale Moore,WR,MIN,11 sec,125.3,22.5
14,12,Mulvihill Machine,Tua Tagovailoa,QB,ATL,17 sec,212.2,36.5
15,1,Mulvihill Machine,Tevin Coleman RB •,,,7 sec (4 min 44 sec),50.9,0.0
15,2,Dude Abides,Cole Kmet,TE,CHI,11 sec (3 min 41 sec),112.4,19.1
15,3,Chicken Dinner,(Skipped Pick),,,0 sec (4 min 40 sec),0.0,0.0
15,4,OnStar,Russell Gage,WR,SF,18 sec (6 min 39 sec),140.4,84.6
15,5,Steel Your League,Ty Johnson,RB,BUF,4 sec (2 min 10 sec),117.1,4.2
15,6,Prometheus Out of Bounds,Chiefs,DST,KC,5 sec (10 min 49 sec),263.0,25.0
15,7,Three-Eyed RAVEN,Josh Palmer,WR,BUF,2 sec (11 min 21 sec),78.4,0.0
15,8,Juggernaut,*Jason Myers,K,SEA,0 sec (2 min 21 sec),96.0,49.0
15,9,Rumblin' Stumblers,Baker Mayfield,QB,TB,52 sec (5 min 4 sec),217.0,7.8
15,10,Pallino Primos,Jameis Winston,QB,NYG,7 sec (12 min 5 sec),150.1,19.1
15,11,Soaring Marmots,Anthony Firkser,TE,DET,4 sec (1 min 31 sec),63.5,0.0
15,12,Ruff Necks,Rashod Bateman,WR,BAL,21 sec (4 min 45 sec),104.3,27.0
