Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
1,1,Rumblin' Stumblers,Justin Jefferson,WR,MIN,,228.4,186.2
1,2,Chicken Dinner,Christian McCaffrey,RB,SF,17 sec,519.3,406.7
1,3,Prometheus Out of Bounds,Travis Kelce,TE,KC,9 sec,320.4,229.4
1,4,Dude Abides,Austin Ekeler,RB,WAS,21 sec,190.4,4.0
1,5,Pallino Primos,Bijan Robinson,RB,ATL,8 sec,263.3,230.2
1,6,jerseyj,A.J. Brown,WR,PHI,5 sec,326.6,326.7
1,7,Soaring Marmots,Patrick Mahomes,QB,KC,11 sec,476.2,318.9
1,8,OnStar,Tyreek Hill,WR,MIA,36 sec,446.0,407.6
1,9,Ruff Necks,Nick Chubb,RB,HOU,8 sec,28.1,28.1
1,10,Three-Eyed RAVEN,Saquon Barkley,RB,PHI,38 sec,228.7,161.2
1,11,Steel Your League,Derrick Henry,RB,BAL,15 sec,271.2,244.9
1,12,Mulvihill Machine,Stefon Diggs,WR,NE,18 sec,318.8,285.1
2,1,Mulvihill Machine,Josh Jacobs,RB,GB,37 sec,193.3,193.3
2,2,Steel Your League,Jalen Hurts,QB,PHI,10 sec,444.4,429.2
2,3,Three-Eyed RAVEN,CeeDee Lamb,WR,DAL,40 sec,476.7,392.0
2,4,Ruff Necks,Davante Adams,WR,LAR,30 sec,280.4,250.2
2,5,OnStar,Josh Allen,QB,BUF,5 sec,576.8,467.1
2,6,Soaring Marmots,Cooper Kupp,WR,SEA,8 sec,194.4,135.5
2,7,jerseyj,Joe Mixon,RB,HOU,4 sec,272.1,242.4
2,8,Pallino Primos,Calvin Ridley,WR,TEN,18 sec,253.5,124.3
2,9,Dude Abides,Joe Burrow,QB,CIN,37 sec,195.6,106.8
2,10,Prometheus Out of Bounds,Aaron Jones,RB,MIN,20 sec,209.0,106.7
2,11,Chicken Dinner,Jaylen Waddle,WR,DEN,54 sec,221.8,215.8
2,12,Rumblin' Stumblers,Lamar Jackson QB • BAL  (Keeper),,,0 sec,466.9,373.0
3,1,Rumblin' Stumblers,Jahmyr Gibbs,RB,DET,7 sec,304.5,243.7
3,2,Chicken Dinner,Christian Watson,WR,GB,50 sec,105.8,17.8
3,3,Prometheus Out of Bounds,Justin Herbert,QB,LAC,14 sec,298.1,266.8
3,4,Dude Abides,Mark Andrews,TE,BAL,6 sec,138.9,135.4
3,5,Pallino Primos,J.K. Dobbins,RB,DEN,24 sec,11.7,11.7
3,6,jerseyj,Amari Cooper,WR,LV,2 sec,269.9,260.0
3,7,Soaring Marmots,Dameon Pierce,RB,PHI,5 sec,82.9,56.1
3,8,OnStar,Travis Etienne,RB,NO,13 sec,298.4,284.7
3,9,Ruff Necks,Alexander Mattison,RB,MIA,31 sec,133.4,85.2
3,10,Three-Eyed RAVEN,Justin Fields,QB,KC,29 sec,254.8,248.2
3,11,Steel Your League,Najee Harris,RB,LAC,10 sec,212.7,165.7
3,12,Mulvihill Machine,Tee Higgins,WR,CIN,49 sec,150.6,92.6
4,1,Mulvihill Machine,Miles Sanders,RB,DAL,26 sec,88.1,40.2
4,2,Steel Your League,DJ Moore,WR,BUF,23 sec,318.5,308.1
4,3,Three-Eyed RAVEN,Breece Hall,RB,NYJ,53 sec,312.5,194.3
4,4,Ruff Necks,Ja'Marr Chase WR • CIN (Keeper),,,0 sec,295.8,282.8
4,5,OnStar,Keenan Allen,WR,LAC,9 sec,312.4,312.4
4,6,Soaring Marmots,Chris Godwin,WR,TB,9 sec,241.7,109.5
4,7,jerseyj,T.J. Hockenson,TE,MIN,1 sec,224.0,213.7
4,8,Pallino Primos,Tyler Lockett,WR,LV,51 sec,202.4,70.8
4,9,Dude Abides,David Montgomery,RB,HOU,60 sec,267.4,124.5
4,10,Prometheus Out of Bounds,James Conner,RB,ARI,8 sec,221.5,143.1
4,11,Chicken Dinner,Tony Pollard RB • TEN (Keeper),,,0 sec,249.2,211.1
4,12,Rumblin' Stumblers,Darren Waller,TE,MIA,38 sec,113.2,57.3
5,1,Rumblin' Stumblers,49ers,DST,SF,7 sec,315.4,233.0
5,2,Chicken Dinner,Diontae Johnson,WR,CLE,45 sec,169.5,115.6
5,3,Prometheus Out of Bounds,Garrett Wilson WR • NYJ  (Keeper),,,0 sec,226.1,173.1
5,4,Dude Abides,James Cook,RB,BUF,7 sec,273.1,123.3
5,5,Pallino Primos,Kenneth Walker III RB • KC  (Keeper),,,0 sec,206.6,143.5
5,6,jerseyj,Trevor Lawrence QB • JAC (Keeper),,,0 sec,324.7,96.0
5,7,Soaring Marmots,Cam Akers,RB,SEA,26 sec,45.7,8.9
5,8,OnStar,Dallas Goedert TE • PHI  (Keeper),,,0 sec,153.4,29.8
5,9,Ruff Necks,Alvin Kamara,RB,NO,25 sec,234.1,234.1
5,10,Three-Eyed RAVEN,*Rachaad White,RB,WAS,1 min 1 sec,305.5,239.9
5,11,Steel Your League,DK Metcalf WR • PIT (Keeper),,,0 sec,242.4,240.4
5,12,Mulvihill Machine,Jahan Dotson,WR,ATL,53 sec,129.8,24.6
6,1,Mulvihill Machine,Kyle Pitts,TE,ATL,7 sec,137.7,100.6
6,2,Steel Your League,George Kittle,TE,SF,29 sec,245.4,220.2
