Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
6,3,Three-Eyed RAVEN,Dalvin Cook,RB,DAL,0 sec,43.0,0.0
6,4,Ruff Necks,Tua Tagovailoa,QB,ATL,56 sec,402.6,311.4
6,5,OnStar,D'Andre Swift,RB,CHI,34 sec,219.9,168.3
6,6,Soaring Marmots,Pat Freiermuth,TE,PIT,4 sec,94.4,25.3
6,7,jerseyj,Eagles,DST,PHI,4 sec,223.7,214.7
6,8,Pallino Primos,Mike Evans,WR,SF,22 sec,342.0,269.7
6,9,Dude Abides,Amon-Ra St. Brown WR • DET (Keeper),,,0 sec,437.5,342.5
6,10,Prometheus Out of Bounds,Christian Kirk,WR,SF,11 sec,160.3,99.9
6,11,Chicken Dinner,Javonte Williams,RB,DAL,24 sec,180.4,73.0
6,12,Rumblin' Stumblers,AJ Dillon,RB,CAR,23 sec,117.6,50.6
7,1,Rumblin' Stumblers,Evan Engram,TE,DEN,26 sec,230.3,175.3
7,2,Chicken Dinner,Kirk Cousins,QB,LV,20 sec,217.7,217.7
7,3,Prometheus Out of Bounds,George Pickens,WR,DAL,8 sec,250.5,78.6
7,4,Dude Abides,Rhamondre Stevenson RB • NE (Keeper),,,0 sec,148.7,87.5
7,5,Pallino Primos,Jordan Addison,WR,MIN,31 sec,235.3,124.3
7,6,jerseyj,Khalil Herbert,RB,NYJ,8 sec,127.5,50.0
7,7,Soaring Marmots,Saints,DST,NO,4 sec,254.5,142.4
7,8,OnStar,Michael Thomas,WR,NO,40 sec,89.8,45.1
7,9,Ruff Necks,DeAndre Hopkins WR • BAL (Keeper),,,0 sec,240.6,94.6
7,10,Three-Eyed RAVEN,Mike Williams,WR,LAC,34 sec,55.2,46.7
7,11,Steel Your League,Antonio Gibson,RB,NE,8 sec,127.4,11.2
7,12,Mulvihill Machine,Anthony Richardson,QB,IND,43 sec,77.5,77.5
8,1,Mulvihill Machine,Bills,DST,BUF,40 sec,322.8,30.0
8,2,Steel Your League,Deebo Samuel WR • WAS (Keeper),,,0 sec,287.9,253.6
8,3,Three-Eyed RAVEN,Zach Charbonnet,RB,SEA,36 sec,106.6,38.4
8,4,Ruff Necks,David Njoku,TE,CLE,6 sec,227.5,50.8
8,5,OnStar,Jaylen Warren,RB,PIT,51 sec,217.3,38.3
8,6,Soaring Marmots,Zay Flowers,WR,BAL,3 sec,250.0,76.0
8,7,jerseyj,Justin Tucker,K,BAL,3 sec,178.0,156.0
8,8,Pallino Primos,Dalton Kincaid,TE,BUF,28 sec,174.7,75.8
8,9,Dude Abides,Jaxon Smith-Njigba,WR,SEA,11 sec,149.8,7.0
8,10,Prometheus Out of Bounds,Terry McLaurin,WR,WAS,15 sec,214.2,53.9
8,11,Chicken Dinner,Aaron Rodgers,QB,PIT,48 sec,-1.0,0.0
8,12,Rumblin' Stumblers,Jerick McKinnon,RB,KC,8 sec,90.3,0.7
9,1,Rumblin' Stumblers,Brandon Aiyuk WR • SF  (Keeper),,,0 sec,317.1,281.7
9,2,Chicken Dinner,Brandin Cooks,WR,BUF,3 sec,189.5,8.7
9,3,Prometheus Out of Bounds,DeVonta Smith WR • PHI (Keeper),,,0 sec,267.4,209.6
9,4,Dude Abides,Jonathan Taylor,RB,IND,16 sec,162.4,112.9
9,5,Pallino Primos,Geno Smith,QB,NYJ,18 sec,297.5,84.0
9,6,jerseyj,"Taysom Hill QB,TE • NO",,,2 sec,144.4,43.9
9,7,Soaring Marmots,Cameron Dicker,K,LAC,3 sec,157.0,58.0
9,8,OnStar,Samaje Perine,RB,CIN,60 sec,121.3,17.2
9,9,Ruff Necks,Marquise Brown,WR,PHI,51 sec,135.3,54.3
9,10,Three-Eyed RAVEN,Drake London WR • ATL (Keeper),,,1 sec,184.6,69.5
9,11,Steel Your League,Steelers,DST,PIT,8 sec,280.4,196.5
9,12,Mulvihill Machine,Younghoe Koo,K,NYG,52 sec,138.0,33.0
10,1,Mulvihill Machine,Gabe Davis,WR,BUF,22 sec,178.6,135.4
10,2,Steel Your League,Dalton Schultz,TE,HOU,13 sec,175.5,79.6
10,3,Three-Eyed RAVEN,Treylon Burks,WR,WAS,53 sec,40.2,0.0
10,4,Ruff Necks,Ravens,DST,BAL,10 sec,359.8,237.5
10,5,OnStar,Jerry Jeudy,WR,CLE,21 sec,141.8,52.5
10,6,Soaring Marmots,Dak Prescott,QB,DAL,2 sec,502.8,120.2
10,7,jerseyj,Israel Abanikanda,RB,DAL,23 sec,16.4,0.0
10,8,Pallino Primos,Brian Robinson Jr. RB • ATL  (Keeper),,,0 sec,203.1,77.4
10,9,Dude Abides,Skyy Moore,WR,GB,10 sec,53.7,0.4
10,10,Prometheus Out of Bounds,Jamaal Williams,RB,NO,23 sec,60.8,2.9
10,11,Chicken Dinner,Isiah Pacheco RB • DET  (Keeper),,,1 sec,295.6,146.0
10,12,Rumblin' Stumblers,Courtland Sutton,WR,DEN,7 sec,190.2,55.3
11,1,Rumblin' Stumblers,Kenneth Gainwell,RB,TB,4 sec,101.2,8.8
11,2,Chicken Dinner,*Jaguars,DST,JAC,60 sec,246.4,40.9
11,3,Prometheus Out of Bounds,Cowboys,DST,DAL,26 sec,329.9,83.0
11,4,Dude Abides,Chargers,DST,LAC,24 sec,222.1,49.0
11,5,Pallino Primos,Deshaun Watson,QB,CLE,10 sec,96.0,60.1
11,6,jerseyj,Rashaad Penny RB •,,,20 sec,4.8,0.0
11,7,Soaring Marmots,Michael Pittman,WR,PIT,2 sec,268.2,241.5
11,8,OnStar,Odell Beckham Jr.,WR,MIA,24 sec,119.9,0.0
11,9,Ruff Necks,Rashod Bateman,WR,BAL,38 sec,84.6,0.0
11,10,Three-Eyed RAVEN,Chris Olave WR • NO  (Keeper),,,0 sec,256.3,191.2
11,11,Steel Your League,Elijah Mitchell,RB,NE,22 sec,55.7,0.0
11,12,Mulvihill Machine,Raheem Mostert,RB,LV,46 sec,284.0,235.0
12,1,Mulvihill Machine,Tyler Higbee,TE,LAR,30 sec,108.5,34.4
12,2,Steel Your League,Daniel Jones,QB,IND,35 sec,45.0,0.0
12,3,Three-Eyed RAVEN,De'Von Achane,RB,MIA,14 sec,226.7,109.6
12,4,Ruff Necks,Harrison Butker,K,KC,15 sec,209.0,115.0
12,5,OnStar,Jets,DST,NYJ,5 sec,307.2,83.2
12,6,Soaring Marmots,Damien Harris,RB,BUF,4 sec,19.0,1.5
12,7,jerseyj,Jared Goff,QB,DET,4 sec,454.0,215.2
12,8,Pallino Primos,Juwan Johnson,TE,NO,6 sec,97.8,6.6
12,9,Dude Abides,Quentin Johnston,WR,LAC,9 sec,94.0,0.0
12,10,Prometheus Out of Bounds,Tank Bigsby,RB,PHI,17 sec,23.0,7.0
12,11,Chicken Dinner,*Greg Dulcich,TE,MIA,0 sec,5.5,4.2
12,12,Rumblin' Stumblers,Tyjae Spears,RB,TEN,6 sec,153.8,27.7
13,1,Rumblin' Stumblers,Tank Dell,WR,HOU,6 sec,181.4,154.8
13,2,Chicken Dinner,Gerald Everett,TE,CHI,0 sec,111.1,16.1
13,3,Prometheus Out of Bounds,Sam LaPorta,TE,DET,23 sec,288.9,70.4
13,4,Dude Abides,Tyler Bass,K,BUF,36 sec,147.0,2.0
13,5,Pallino Primos,Commanders,DST,WAS,4 sec,143.5,20.0
13,6,jerseyj,Deon Jackson,RB,DET,20 sec,4.0,3.8
13,7,Soaring Marmots,Zach Ertz,TE,WAS,2 sec,51.7,9.0
13,8,OnStar,Cole Kmet,TE,CHI,12 sec,186.1,85.7
13,9,Ruff Necks,Ezekiel Elliott,RB,LAC,3 sec,174.5,120.3
13,10,Three-Eyed RAVEN,Chigoziem Okonkwo,TE,WAS,15 sec,113.4,0.0
13,11,Steel Your League,Tyler Boyd,WR,TEN,9 sec,149.8,9.9
13,12,Mulvihill Machine,Kenny Pickett,QB,CAR,51 sec,126.2,33.3
14,1,Mulvihill Machine,Romeo Doubs,WR,NE,30 sec,218.8,83.5
14,2,Steel Your League,Evan McPherson,K,CIN,28 sec,143.0,68.0
14,3,Three-Eyed RAVEN,Jason Myers,K,SEA,19 sec,161.0,39.0
14,4,Ruff Necks,Brock Purdy,QB,SF,16 sec,464.6,110.3
14,5,OnStar,Daniel Carlson,K,LV,13 sec,121.0,14.0
14,6,Soaring Marmots,Luke Musgrave,TE,GB,4 sec,93.8,33.4
14,7,jerseyj,Roschon Johnson,RB,CHI,8 sec,102.1,22.4
14,8,Pallino Primos,Jordan Love,QB,GB,51 sec,456.6,58.0
14,9,Dude Abides,Russell Wilson,QB,NYG,8 sec,309.6,38.4
14,10,Prometheus Out of Bounds,Jake Elliott,K,PHI,6 sec,169.0,99.0
14,11,Chicken Dinner,*Tyler Allgeier,RB,ARI,0 sec,142.9,4.8
14,12,Rumblin' Stumblers,Marvin Mims,WR,DEN,12 sec,79.1,0.0
15,1,Rumblin' Stumblers,Riley Patterson,K,MIA,7 sec (2 min 31 sec),95.0,23.0
15,2,Chicken Dinner,*Jake Moody,K,WAS,0 sec (5 min 22 sec),173.0,42.0
15,3,Prometheus Out of Bounds,Derek Carr,QB,NO,15 sec (3 min 15 sec),332.2,26.4
15,4,Dude Abides,Elijah Moore,WR,PHI,9 sec (4 min 14 sec),137.4,11.1
15,5,Pallino Primos,Greg Zuerlein,K,NYJ,12 sec (4 min 43 sec),146.0,0.0
15,6,jerseyj,JuJu Smith-Schuster,WR,KC,8 sec (1 min 52 sec),61.0,0.0
15,7,Soaring Marmots,Jakobi Meyers,WR,JAC,1 sec (1 min 28 sec),220.7,113.3
15,8,OnStar,Kadarius Toney,WR,CLE,19 sec (5 min 42 sec),54.0,0.0
15,9,Ruff Necks,Adam Thielen,WR,PIT,52 sec (5 min 41 sec),246.0,182.7
15,10,Three-Eyed RAVEN,Bengals,DST,CIN,7 sec (6 min 40 sec),215.2,14.0
15,11,Steel Your League,Calvin Austin III,WR,NYG,4 sec (3 min 34 sec),62.6,0.0
15,12,Mulvihill Machine,*Chase Brown,RB,CIN,1 min 1 sec (9 min 25 sec),53.8,0.0
