Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Prometheus Out of Bounds,Jonathan Taylor,RB,False,False,,,,
1,2,2,Dude Abides,Christian McCaffrey,RB,False,False,,,,
1,3,3,Soaring Marmots,Derrick Henry,RB,False,False,,,,
1,4,4,Juggernaut,Cam Akers,RB,False,False,,,,
1,5,5,Mulvihill Machine,Austin Ekeler,RB,False,False,,,,
1,6,6,Rumblin' Stumblers,Dalvin Cook,RB,False,False,,,,
1,7,7,Pallino Primos,Joe Mixon,RB,False,False,,,,
1,8,8,Chicken Dinner,Najee Harris,RB,False,False,,,,
1,9,9,Ruff Necks,Alvin Kamara,RB,False,False,,,,
1,10,10,Steel Your League,Davante Adams,WR,False,False,,,,
1,11,11,OnStar,Patrick Mahomes,QB,False,False,,,,
1,12,12,Three-Eyed RAVEN,Stefon Diggs,WR,False,False,,,,
2,1,13,Three-Eyed RAVEN,D'Andre Swift,RB,False,False,,,,
2,2,14,OnStar,Aaron Jones,RB,False,False,,,,
2,3,15,Steel Your League,Nick Chubb,RB,False,False,,,,
2,4,16,Ruff Necks,Travis Kelce,TE,False,False,,,,
2,5,17,Chicken Dinner,Javonte Williams,RB,False,False,,,,
2,6,18,Pallino Primos,Mark Andrews,TE,False,False,,,,
2,7,19,Rumblin' Stumblers,Saquon Barkley,RB,False,False,,,,
2,8,20,Mulvihill Machine,Tyreek Hill,WR,False,False,,,,
2,9,21,Juggernaut,Justin Herbert,QB,False,False,,,,
2,10,22,Soaring Marmots,Cooper Kupp,WR,False,False,,,,
2,11,23,Dude Abides,Kyle Pitts,TE,False,False,,,,
2,12,24,Prometheus Out of Bounds,Tom Brady,QB,False,False,,,,
3,1,25,Prometheus Out of Bounds,James Conner,RB,False,False,,,,
3,2,26,Dude Abides,Dameon Pierce,RB,False,False,,,,
3,3,27,Soaring Marmots,Kyler Murray,QB,False,False,,,,
3,4,28,Juggernaut,J.K. Dobbins,RB,False,False,,,,
3,5,29,Mulvihill Machine,DJ Moore,WR,False,False,,,,
3,6,30,Rumblin' Stumblers,Lamar Jackson,QB,False,False,,,,
3,7,31,Pallino Primos,Chris Godwin,WR,False,False,,,,
3,8,32,Chicken Dinner,Keenan Allen,WR,False,False,,,,
3,9,33,Ruff Necks,A.J. Brown,WR,False,False,,,,
3,10,34,Steel Your League,Ezekiel Elliott,RB,False,False,,,,
3,11,35,OnStar,Kareem Hunt,RB,False,False,,,,
3,12,36,Three-Eyed RAVEN,David Montgomery,RB,False,False,,,,
4,1,37,Three-Eyed RAVEN,George Kittle,TE,False,False,,,,
4,2,38,OnStar,Darren Waller,TE,False,False,,,,
4,3,39,Steel Your League,Allen Robinson,WR,False,False,,,,
4,4,40,Ruff Necks,Travis Etienne,RB,False,False,,,,
4,5,41,Chicken Dinner,AJ Dillon,RB,False,False,,,,
4,6,42,Pallino Primos,Michael Thomas,WR,False,False,,,,
4,7,43,Rumblin' Stumblers,Mike Evans,WR,False,False,,,,
4,8,44,Mulvihill Machine,Breece Hall,RB,False,False,,,,
4,9,45,Juggernaut,Kenneth Walker III,RB,False,False,,,,
4,10,46,Soaring Marmots,Josh Jacobs,RB,False,False,,,,
4,11,47,Dude Abides,Brandin Cooks,WR,False,False,,,,
4,12,48,Prometheus Out of Bounds,Jaylen Waddle,WR,False,False,,,,
5,1,49,Prometheus Out of Bounds,Michael Pittman,WR,False,False,,,,
5,2,50,Dude Abides,Christian Kirk,WR,False,False,,,,
5,3,51,Soaring Marmots,Diontae Johnson,WR,False,False,,,,
5,4,52,Juggernaut,Damien Harris,RB,False,False,,,,
5,5,53,Mulvihill Machine,Jalen Hurts,QB,False,False,,,,
5,6,54,Rumblin' Stumblers,Chase Edmonds,RB,False,False,,,,
5,7,55,Pallino Primos,Mike Williams,WR,False,False,,,,
5,8,56,Chicken Dinner,Tony Pollard,RB,False,False,,,,
5,9,57,Ruff Necks,Ja'Marr Chase,WR,False,False,,,,
5,10,58,Steel Your League,Joe Burrow,QB,False,False,,,,
5,11,59,OnStar,Terry McLaurin,WR,False,False,,,,
5,12,60,Three-Eyed RAVEN,Jerry Jeudy,WR,False,False,,,,
6,1,61,Three-Eyed RAVEN,Clyde Edwards-Helaire,RB,False,False,,,,
6,2,62,OnStar,Dallas Goedert,TE,False,False,,,,
6,3,63,Steel Your League,DK Metcalf,WR,False,False,,,,
6,4,64,Ruff Necks,Antonio Gibson,RB,False,False,,,,
6,5,65,Chicken Dinner,Aaron Rodgers,QB,False,False,,,,
6,6,66,Pallino Primos,Matthew Stafford,QB,False,False,,,,
6,7,67,Rumblin' Stumblers,Courtland Sutton,WR,False,False,,,,
6,8,68,Mulvihill Machine,Dalton Schultz,TE,False,False,,,,
6,9,69,Juggernaut,Trevor Lawrence,QB,False,False,,,,
6,10,70,Soaring Marmots,T.J. Hockenson,TE,False,False,,,,
6,11,71,Dude Abides,Elijah Mitchell,RB,False,False,,,,
6,12,72,Prometheus Out of Bounds,Tee Higgins,WR,False,False,,,,
7,1,73,Prometheus Out of Bounds,Dawson Knox,TE,False,False,,,,
7,2,74,Dude Abides,Amon-Ra St. Brown,WR,False,False,,,,
7,3,75,Soaring Marmots,Rams,DST,False,False,,,,
7,4,76,Juggernaut,Tyler Allgeier,RB,False,False,,,,
7,5,77,Mulvihill Machine,Darnell Mooney,WR,False,False,,,,
7,6,78,Rumblin' Stumblers,Bills,DST,False,False,,,,
7,7,79,Pallino Primos,Rashaad Penny,RB,False,False,,,,
7,8,80,Chicken Dinner,CeeDee Lamb,WR,False,False,,,,
7,9,81,Ruff Necks,Russell Wilson,QB,False,False,,,,
7,10,82,Steel Your League,Devin Singletary,RB,False,False,,,,
7,11,83,OnStar,Miles Sanders,RB,False,False,,,,
7,12,84,Three-Eyed RAVEN,Cordarrelle Patterson,RB,False,False,,,,
8,1,85,Three-Eyed RAVEN,Josh Allen,QB,False,False,,,,
8,2,86,OnStar,Browns,DST,False,False,,,,
8,3,87,Steel Your League,Leonard Fournette,RB,False,False,,,,
8,4,88,Ruff Necks,DeAndre Hopkins,WR,False,False,,,,
8,5,89,Chicken Dinner,Pat Freiermuth,TE,False,False,,,,
8,6,90,Pallino Primos,Allen Lazard,WR,False,False,,,,
8,7,91,Rumblin' Stumblers,David Njoku,TE,False,False,,,,
8,8,92,Mulvihill Machine,49ers,DST,False,False,,,,
8,9,93,Juggernaut,Melvin Gordon,RB,False,False,,,,
8,10,94,Soaring Marmots,JuJu Smith-Schuster,WR,False,False,,,,
8,11,95,Dude Abides,Rhamondre Stevenson,RB,False,False,,,,
8,12,96,Prometheus Out of Bounds,Buccaneers,DST,False,False,,,,
9,1,97,Prometheus Out of Bounds,Ryan Succop,K,False,False,,,,
