Round,Pick,Team,Player,Position,NFL Team
1,1,Prometheus Out of Bounds,Christian McCaffrey,RB,SF
1,2,jerseyj,Tyreek Hill,WR,MIA
1,3,Rumblin' Stumblers,Breece Hall,RB,NYJ
1,4,Heathens,Patrick Mahomes,QB,KC
1,5,Three-Eyed RAVEN,CeeDee Lamb,WR,DAL
1,6,Mulvihill Machine,Bijan Robinson,RB,ATL
1,7,Steel Your League,Amon-Ra St. Brown,WR,DET
1,8,Ruff Necks,Justin Jefferson,WR,MIN
1,9,Chicken Dinner,Ja'Marr Chase,WR,CIN
1,10,Dude Abides,Saquon Barkley,RB,PHI
1,11,OnStar,Josh Allen,QB,BUF
1,12,Pallino Primos,Marvin Harrison Jr.,WR,ARI
2,1,Pallino Primos,A.J. Brown,WR,PHI
2,2,OnStar,James Cook,RB,BUF
2,3,Dude Abides,Drake London,WR,ATL
2,4,Chicken Dinner,Travis Etienne,RB,NO
2,5,Ruff Necks,Josh Jacobs,RB,GB
2,6,Steel Your League,Nico Collins,WR,HOU
2,7,Mulvihill Machine,Derrick Henry,RB,BAL
2,8,Three-Eyed RAVEN,Cooper Kupp,WR,SEA
2,9,Heathens,C.J. Stroud,QB,HOU
2,10,Rumblin' Stumblers,Jahmyr Gibbs,RB,DET
2,11,jerseyj,Davante Adams,WR,LAR
2,12,Prometheus Out of Bounds,Jalen Hurts,QB,PHI
3,1,Prometheus Out of Bounds,Kenneth Walker III,RB,KC
3,2,jerseyj,Travis Kelce,TE,KC
3,3,Rumblin' Stumblers,Jaylen Waddle,WR,DEN
3,4,Heathens,Stefon Diggs,WR,NE
3,5,Three-Eyed RAVEN,Lamar Jackson,QB,BAL
3,6,Mulvihill Machine,Deebo Samuel,WR,WAS
3,7,Steel Your League,Mike Evans,WR,SF
3,8,Ruff Necks,Joe Mixon,RB,HOU
3,9,Chicken Dinner,Rachaad White,RB,WAS
3,10,Dude Abides,Dalton Kincaid,TE,BUF
3,11,OnStar,Alvin Kamara,RB,NO
3,12,Pallino Primos,Terry McLaurin,WR,WAS
4,1,Pallino Primos,Zamir White,RB,LV
4,2,OnStar,James Conner,RB,ARI
4,3,Dude Abides,Anthony Richardson,QB,IND
4,4,Chicken Dinner,Malik Nabers,WR,NYG
4,5,Ruff Necks,Trey McBride,TE,ARI
4,6,Steel Your League,Aaron Jones,RB,MIN
4,7,Mulvihill Machine,DK Metcalf,WR,PIT
4,8,Three-Eyed RAVEN,Rashee Rice,WR,KC
4,9,Heathens,DeVonta Smith,WR,PHI
4,10,Rumblin' Stumblers,Amari Cooper,WR,LV
4,11,jerseyj,DJ Moore,WR,BUF
4,12,Prometheus Out of Bounds,Garrett Wilson,WR,NYJ
5,1,Prometheus Out of Bounds,George Pickens,WR,DAL
5,2,jerseyj,Javonte Williams,RB,DAL
5,3,Rumblin' Stumblers,Joe Burrow,QB,CIN
5,4,Heathens,Tee Higgins,WR,CIN
5,5,Three-Eyed RAVEN,Mark Andrews,TE,BAL
5,6,Mulvihill Machine,George Kittle,TE,SF
5,7,Steel Your League,Najee Harris,RB,LAC
5,8,Ruff Necks,Tank Dell,WR,HOU
5,9,Chicken Dinner,Kyler Murray,QB,MIN
5,10,Dude Abides,Puka Nacua,WR,LAR
5,11,OnStar,Evan Engram,TE,DEN
5,12,Pallino Primos,Kyren Williams,RB,LAR
6,1,Pallino Primos,Jordan Love,QB,GB
6,2,OnStar,Bills,DST,BUF
6,3,Dude Abides,Diontae Johnson,WR,CLE
6,4,Chicken Dinner,Michael Pittman,WR,PIT
6,5,Ruff Necks,Tony Pollard,RB,TEN
6,6,Steel Your League,Kyle Pitts,TE,ATL
6,7,Mulvihill Machine,Calvin Ridley,WR,TEN
6,8,Three-Eyed RAVEN,Rhamondre Stevenson,RB,NE
6,9,Heathens,Tua Tagovailoa,QB,ATL
6,10,Rumblin' Stumblers,David Njoku,TE,CLE
6,11,jerseyj,Jayden Daniels,QB,WAS
6,12,Prometheus Out of Bounds,Chris Godwin,WR,TB
7,1,Prometheus Out of Bounds,Brock Bowers,TE,LV
7,2,jerseyj,David Montgomery,RB,HOU
7,3,Rumblin' Stumblers,Ladd McConkey,WR,LAC
7,4,Heathens,Chris Boswell,K,PIT
7,5,Three-Eyed RAVEN,Raheem Mostert,RB,LV
7,6,Mulvihill Machine,Dak Prescott,QB,DAL
7,7,Steel Your League,D'Andre Swift,RB,CHI
7,8,Ruff Necks,Zay Flowers,WR,BAL
7,9,Chicken Dinner,Jake Ferguson,TE,DAL
7,10,Dude Abides,Rome Odunze,WR,CHI
7,11,OnStar,Jayden Reed,WR,GB
7,12,Pallino Primos,Jerome Ford,RB,WAS
8,1,Pallino Primos,Rico Dowdle,RB,PIT
8,2,OnStar,Christian Kirk,WR,SF
8,3,Dude Abides,Jonathan Taylor,RB,IND
8,4,Chicken Dinner,Jonathon Brooks,RB,CAR
