Round,Pick,Team,Player,Position,NFL Team
8,5,Ruff Necks,Nick Chubb,RB,HOU
8,6,Steel Your League,Steelers,DST,PIT
8,7,Mulvihill Machine,Chase Brown,RB,CIN
8,8,Three-Eyed RAVEN,Gus Edwards,RB,LAC
8,9,Heathens,Keenan Allen,WR,LAC
8,10,Rumblin' Stumblers,Brandon Aiyuk,WR,SF
8,11,jerseyj,Tyjae Spears,RB,TEN
8,12,Prometheus Out of Bounds,Zack Moss,RB,CIN
9,1,Prometheus Out of Bounds,Christian Watson,WR,GB
9,2,jerseyj,Jaxon Smith-Njigba,WR,SEA
9,3,Rumblin' Stumblers,Chuba Hubbard,RB,CAR
9,4,Heathens,Marquise Brown,WR,PHI
9,5,Three-Eyed RAVEN,Brian Thomas Jr.,WR,JAC
9,6,Mulvihill Machine,Jared Goff,QB,DET
9,7,Steel Your League,Trevor Lawrence,QB,JAC
9,8,Ruff Necks,Ravens,DST,BAL
9,9,Chicken Dinner,Isiah Pacheco,RB,DET
9,10,Dude Abides,Caleb Williams,QB,CHI
9,11,OnStar,Brian Robinson Jr.,RB,ATL
9,12,Pallino Primos,Jameson Williams,WR,DET
10,1,Pallino Primos,Josh Palmer,WR,BUF
10,2,OnStar,Jaylen Warren,RB,PIT
10,3,Dude Abides,Devin Singletary,RB,NYG
10,4,Chicken Dinner,Matthew Stafford,QB,LAR
10,5,Ruff Necks,J.K. Dobbins,RB,DEN
10,6,Steel Your League,Cole Kmet,TE,CHI
10,7,Mulvihill Machine,Dallas Goedert,TE,PHI
10,8,Three-Eyed RAVEN,Chris Olave,WR,NO
10,9,Heathens,Austin Ekeler,RB,WAS
10,10,Rumblin' Stumblers,Trey Benson,RB,ARI
10,11,jerseyj,Keon Coleman,WR,BUF
10,12,Prometheus Out of Bounds,Cowboys,DST,DAL
11,1,Prometheus Out of Bounds,Justin Tucker,K,BAL
11,2,jerseyj,Xavier Worthy,WR,KC
11,3,Rumblin' Stumblers,Dalton Schultz,TE,HOU
11,4,Heathens,Antonio Gibson,RB,NE
11,5,Three-Eyed RAVEN,De'Von Achane,RB,MIA
11,6,Mulvihill Machine,Brandon Aubrey,K,DAL
11,7,Steel Your League,Kirk Cousins,QB,LV
11,8,Ruff Necks,DeAndre Hopkins,WR,BAL
11,9,Chicken Dinner,Blake Corum,RB,LAR
11,10,Dude Abides,Jaleel McLaughlin,RB,DEN
11,11,OnStar,Dolphins,DST,MIA
11,12,Pallino Primos,Pat Freiermuth,TE,PIT
12,1,Pallino Primos,Zach Ertz,TE,WAS
12,2,OnStar,Ezekiel Elliott,RB,LAC
12,3,Dude Abides,Jets,DST,NYJ
12,4,Chicken Dinner,Jordan Addison,WR,MIN
12,5,Ruff Necks,T.J. Hockenson,TE,MIN
12,6,Steel Your League,Tyler Lockett,WR,LV
12,7,Mulvihill Machine,Browns,DST,CLE
12,8,Three-Eyed RAVEN,49ers,DST,SF
12,9,Heathens,Eagles,DST,PHI
12,10,Rumblin' Stumblers,Younghoe Koo,K,NYG
12,11,jerseyj,Dyami Brown,WR,WAS
12,12,Prometheus Out of Bounds,Sam LaPorta,TE,DET
13,1,Prometheus Out of Bounds,Aaron Rodgers,QB,PIT
13,2,jerseyj,Jake Elliott,K,PHI
13,3,Rumblin' Stumblers,Rashid Shaheed,WR,SEA
13,4,Heathens,Luke Musgrave,TE,GB
13,5,Three-Eyed RAVEN,Darnell Mooney,WR,NYG
13,6,Mulvihill Machine,Khalil Shakir,WR,BUF
13,7,Steel Your League,Chiefs,DST,KC
13,8,Ruff Necks,Brock Purdy,QB,SF
13,9,Chicken Dinner,Ty Chandler,RB,NO
13,10,Dude Abides,Courtland Sutton,WR,DEN
13,11,OnStar,Justin Herbert,QB,LAC
13,12,Pallino Primos,Ka'imi Fairbairn,K,HOU
14,1,Pallino Primos,MarShawn Lloyd,RB,GB
14,2,OnStar,Tyler Allgeier,RB,ARI
14,3,Dude Abides,Jordan Mason,RB,MIN
14,4,Chicken Dinner,Texans,DST,HOU
14,5,Ruff Necks,Harrison Butker,K,KC
14,6,Steel Your League,Jason Myers,K,SEA
14,7,Mulvihill Machine,Bucky Irving,RB,TB
14,8,Three-Eyed RAVEN,Tyrone Tracy Jr.,RB,NYG
14,9,Heathens,Patriots,DST,NE
14,10,Rumblin' Stumblers,Jaylen Wright,RB,MIA
14,11,jerseyj,Packers,DST,GB
14,12,Prometheus Out of Bounds,Adonai Mitchell,WR,NYJ
15,1,Prometheus Out of Bounds,Ray Davis,RB,BUF
15,2,jerseyj,Bryce Young,QB,CAR
15,3,Rumblin' Stumblers,Saints,DST,NO
15,4,Heathens,Khalil Herbert,RB,NYJ
15,5,Three-Eyed RAVEN,Tyler Bass,K,BUF
15,6,Mulvihill Machine,Ja'Lynn Polk,WR,NE
15,7,Steel Your League,Jerry Jeudy,WR,CLE
15,8,Ruff Necks,Seahawks,DST,SEA
15,9,Chicken Dinner,Blake Grupe,K,IND
15,10,Dude Abides,Matt Gay,K,SF
15,11,OnStar,Cairo Santos,K,CHI
15,12,Pallino Primos,Bengals,DST,CIN
