Round,Pick,Team,Player,Position,NFL Team
1,1,Rumblin' Stumblers,Justin Jefferson,WR,MIN
1,2,Chicken Dinner,Christian McCaffrey,RB,SF
1,3,Prometheus Out of Bounds,Travis Kelce,TE,KC
1,4,Dude Abides,Austin Ekeler,RB,WAS
1,5,Pallino Primos,Bijan Robinson,RB,ATL
1,6,jerseyj,A.J. Brown,WR,PHI
1,7,Soaring Marmots,Patrick Mahomes,QB,KC
1,8,OnStar,Tyreek Hill,WR,MIA
1,9,Ruff Necks,Nick Chubb,RB,HOU
1,10,Three-Eyed RAVEN,Saquon Barkley,RB,PHI
1,11,Steel Your League,Derrick Henry,RB,BAL
1,12,Mulvihill Machine,Stefon Diggs,WR,NE
2,1,Mulvihill Machine,Josh Jacobs,RB,GB
2,2,Steel Your League,Jalen Hurts,QB,PHI
2,3,Three-Eyed RAVEN,CeeDee Lamb,WR,DAL
2,4,Ruff Necks,Davante Adams,WR,LAR
2,5,OnStar,Josh Allen,QB,BUF
2,6,Soaring Marmots,Cooper Kupp,WR,SEA
2,7,jerseyj,Joe Mixon,RB,HOU
2,8,Pallino Primos,Calvin Ridley,WR,TEN
2,9,Dude Abides,Joe Burrow,QB,CIN
2,10,Prometheus Out of Bounds,Aaron Jones,RB,MIN
2,11,Chicken Dinner,Jaylen Waddle,WR,DEN
2,12,Rumblin' Stumblers,Lamar Jackson,QB,BAL
3,1,Rumblin' Stumblers,Jahmyr Gibbs,RB,DET
3,2,Chicken Dinner,Christian Watson,WR,GB
3,3,Prometheus Out of Bounds,Justin Herbert,QB,LAC
3,4,Dude Abides,Mark Andrews,TE,BAL
3,5,Pallino Primos,J.K. Dobbins,RB,DEN
3,6,jerseyj,Amari Cooper,WR,LV
3,7,Soaring Marmots,Dameon Pierce,RB,PHI
3,8,OnStar,Travis Etienne,RB,NO
3,9,Ruff Necks,Alexander Mattison,RB,MIA
3,10,Three-Eyed RAVEN,Justin Fields,QB,KC
3,11,Steel Your League,Najee Harris,RB,LAC
3,12,Mulvihill Machine,Tee Higgins,WR,CIN
4,1,Mulvihill Machine,Miles Sanders,RB,DAL
4,2,Steel Your League,DJ Moore,WR,BUF
4,3,Three-Eyed RAVEN,Breece Hall,RB,NYJ
4,4,Ruff Necks,Ja'Marr Chase,WR,CIN
4,5,OnStar,Keenan Allen,WR,LAC
4,6,Soaring Marmots,Chris Godwin,WR,TB
4,7,jerseyj,T.J. Hockenson,TE,MIN
4,8,Pallino Primos,Tyler Lockett,WR,LV
4,9,Dude Abides,David Montgomery,RB,HOU
4,10,Prometheus Out of Bounds,James Conner,RB,ARI
4,11,Chicken Dinner,Tony Pollard,RB,TEN
4,12,Rumblin' Stumblers,Darren Waller,TE,MIA
5,1,Rumblin' Stumblers,49ers,DST,SF
5,2,Chicken Dinner,Diontae Johnson,WR,CLE
5,3,Prometheus Out of Bounds,Garrett Wilson,WR,NYJ
5,4,Dude Abides,James Cook,RB,BUF
5,5,Pallino Primos,Kenneth Walker III,RB,KC
5,6,jerseyj,Trevor Lawrence,QB,JAC
5,7,Soaring Marmots,Cam Akers,RB,SEA
5,8,OnStar,Dallas Goedert,TE,PHI
5,9,Ruff Necks,Alvin Kamara,RB,NO
5,10,Three-Eyed RAVEN,Rachaad White,RB,WAS
5,11,Steel Your League,DK Metcalf,WR,PIT
5,12,Mulvihill Machine,Jahan Dotson,WR,ATL
6,1,Mulvihill Machine,Kyle Pitts,TE,ATL
6,2,Steel Your League,George Kittle,TE,SF
6,3,Three-Eyed RAVEN,Dalvin Cook,RB,DAL
6,4,Ruff Necks,Tua Tagovailoa,QB,ATL
6,5,OnStar,D'Andre Swift,RB,CHI
6,6,Soaring Marmots,Pat Freiermuth,TE,PIT
6,7,jerseyj,Eagles,DST,PHI
6,8,Pallino Primos,Mike Evans,WR,SF
6,9,Dude Abides,Amon-Ra St. Brown,WR,DET
6,10,Prometheus Out of Bounds,Christian Kirk,WR,SF
6,11,Chicken Dinner,Javonte Williams,RB,DAL
6,12,Rumblin' Stumblers,AJ Dillon,RB,CAR
7,1,Rumblin' Stumblers,Evan Engram,TE,DEN
7,2,Chicken Dinner,Kirk Cousins,QB,LV
7,3,Prometheus Out of Bounds,George Pickens,WR,DAL
7,4,Dude Abides,Rhamondre Stevenson,RB,NE
7,5,Pallino Primos,Jordan Addison,WR,MIN
7,6,jerseyj,Khalil Herbert,RB,NYJ
7,7,Soaring Marmots,Saints,DST,NO
