Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
6,12,72,OnStar,Austin Ekeler RB | WAS,RB,True,False,0 sec,,,
7,1,73,OnStar,Tyler Boyd WR | TEN,WR,False,False,30 sec,,,
7,2,74,Lewd,49ers DST | SF,DST,False,False,17 sec,,,
7,3,75,No longer new guy,Christian Kirk WR | SF,WR,False,False,1 min 43 sec,,,
7,4,76,Ruff Necks,D'Andre Swift RB | CHI,RB,False,False,11 sec,,,
7,5,77,Steel Your League,Diontae Johnson WR | CLE,WR,False,False,26 sec,,,
7,6,78,Chicken Dinner,Leonard Fournette RB |,RB,False,False,46 sec,,,
7,7,79,Mulvihill Machine,Colts DST | IND,DST,False,False,1 min 13 sec,,,
7,8,80,Soaring Marmots,Zack Moss RB | CIN,RB,False,False,13 sec,,,
7,9,81,Rumblin' Stumblers,Phillip Lindsay RB |,RB,False,False,0 sec,,,
7,10,82,Dude Abides,A.J. Green WR |,WR,False,False,1 min 49 sec,,,
7,11,83,Pallino Primos,Jarvis Landry WR |,WR,False,False,1 min 15 sec,,,
7,12,84,Three-Eyed RAVEN,Matt Breida RB | SF,RB,False,False,1 min 26 sec,,,
8,1,85,Three-Eyed RAVEN,Henry Ruggs III WR |,WR,False,False,52 sec,,,
8,2,86,Pallino Primos,Bills DST | BUF,DST,False,False,8 sec,,,
8,3,87,Dude Abides,Latavius Murray RB | BUF,RB,False,False,13 sec,,,
8,4,88,Rumblin' Stumblers,Julian Edelman WR |,WR,False,False,0 sec,,,
8,5,89,Soaring Marmots,Sterling Shepard WR | TB,WR,False,False,1 min 11 sec,,,
8,6,90,Mulvihill Machine,Jamison Crowder WR | WAS,WR,False,False,1 min 47 sec,,,
8,7,91,Chicken Dinner,Dak Prescott QB | DAL,QB,True,False,0 sec,,,
8,8,92,Steel Your League,Jordan Howard RB |,RB,False,False,33 sec,,,
8,9,93,Ruff Necks,Chris Carson RB |,RB,True,False,0 sec,,,
8,10,94,No longer new guy,Boston Scott RB | PIT,RB,False,False,15 sec,,,
8,11,95,Lewd,Marvin Jones WR |,WR,False,False,58 sec,,,
8,12,96,OnStar,Brandin Cooks WR | BUF,WR,False,False,27 sec,,,
9,1,97,OnStar,Aaron Rodgers QB | PIT,QB,False,False,47 sec,,,
9,2,98,Lewd,Wil Lutz K | DEN,K,False,False,29 sec,,,
9,3,99,No longer new guy,Tony Pollard RB | TEN,RB,False,False,45 sec,,,
9,4,100,Ruff Necks,Hayden Hurst TE | LAC,TE,False,False,9 sec,,,
9,5,101,Steel Your League,George Kittle TE | SF,TE,True,False,0 sec,,,
9,6,102,Chicken Dinner,CeeDee Lamb WR | DAL,WR,False,False,20 sec,,,
9,7,103,Mulvihill Machine,Marlon Mack RB | ARI,RB,False,False,1 min 50 sec,,,
9,8,104,Soaring Marmots,Patrick Mahomes QB | KC,QB,True,False,0 sec,,,
9,9,105,Rumblin' Stumblers,Russell Wilson QB | NYG,QB,True,False,0 sec,,,
9,10,106,Dude Abides,Jared Goff QB | DET,QB,False,False,1 min 54 sec,,,
9,11,107,Pallino Primos,James Robinson RB | NO,RB,False,False,11 sec,,,
9,12,108,Three-Eyed RAVEN,Mark Andrews TE | BAL,TE,True,False,0 sec,,,
10,1,109,Three-Eyed RAVEN,Josh Allen QB | BUF,QB,False,False,6 sec,,,
10,2,110,Pallino Primos,Noah Fant TE | NO,TE,False,False,1 min 31 sec,,,
10,3,111,Dude Abides,Patriots DST | NE,DST,False,False,12 sec,,,
10,4,112,Rumblin' Stumblers,David Montgomery RB | HOU,RB,False,False,0 sec,,,
10,5,113,Soaring Marmots,Rob Gronkowski TE |,TE,False,False,17 sec,,,
10,6,114,Mulvihill Machine,Jonnu Smith TE | PIT,TE,False,False,27 sec,,,
10,7,115,Chicken Dinner,Jerry Jeudy WR | CLE,WR,False,False,28 sec,,,
10,8,116,Steel Your League,Matthew Stafford QB | LAR,QB,False,False,39 sec,,,
