Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
13,4,Juggernaut,*Chiefs,DST,KC,0 sec,276.2,116.8
13,5,Mulvihill Machine,J.D. McKissic RB •,,,49 sec,55.8,0.0
13,6,Rumblin' Stumblers,Skyy Moore,WR,GB,29 sec,56.8,0.0
13,7,Pallino Primos,Evan McPherson,K,CIN,39 sec,158.0,18.0
13,8,Chicken Dinner,Treylon Burks,WR,WAS,6 sec,99.1,0.0
13,9,Ruff Necks,Isaiah Likely,TE,NYG,9 sec,96.3,9.4
13,10,Steel Your League,Austin Hooper,TE,ATL,21 sec,97.4,1.6
13,11,OnStar,Jamaal Williams,RB,NO,35 sec,238.9,112.5
13,12,Three-Eyed RAVEN,Rondale Moore,WR,MIN,44 sec,89.6,44.2
14,1,Three-Eyed RAVEN,Saints,DST,NO,60 sec,216.0,12.0
14,2,OnStar,Justin Tucker,K,BAL,10 sec,181.0,164.0
14,3,Steel Your League,Harrison Butker,K,KC,6 sec,139.0,65.0
14,4,Ruff Necks,Rashod Bateman WR • BAL  (Keeper),,,0 sec,63.5,5.9
14,5,Chicken Dinner,Chargers,DST,LAC,29 sec,244.1,25.2
14,6,Pallino Primos,Broncos,DST,DEN,8 sec,230.5,10.0
14,7,Rumblin' Stumblers,Chase Claypool,WR,BUF,31 sec,107.0,0.0
14,8,Mulvihill Machine,Matt Gay,K,SF,5 sec,148.0,44.0
14,9,Juggernaut,*Noah Fant,TE,NO,0 sec,124.7,83.8
14,10,Soaring Marmots,Daniel Carlson,K,LV,24 sec,177.0,68.0
14,11,Dude Abides,Greg Joseph,K,LV,34 sec,145.0,42.0
14,12,Prometheus Out of Bounds,Tua Tagovailoa,QB,ATL,7 sec,334.4,166.8
15,1,Prometheus Out of Bounds,Chuba Hubbard,RB,CAR,3 sec (1 min 16 sec),92.7,0.0
15,2,Dude Abides,Tyrion Davis-Price,RB,GB,12 sec (4 min 54 sec),9.9,0.0
15,3,Soaring Marmots,Isaiah McKenzie,WR,MIA,16 sec (2 min 56 sec),122.8,0.0
15,4,Juggernaut,*Rodrigo Blankenship K •,,,1 sec (1 min 4 sec),19.0,9.0
15,5,Mulvihill Machine,Rachaad White,RB,WAS,12 sec (6 min 27 sec),155.8,104.5
15,6,Rumblin' Stumblers,Dolphins,DST,MIA,20 sec (5 min 8 sec),241.3,5.0
15,7,Pallino Primos,Kenny Golladay WR •,,,8 sec (5 min 48 sec),20.1,4.2
15,8,Chicken Dinner,Dustin Hopkins,K,CLE,23 sec (7 min 14 sec),40.0,13.0
15,9,Ruff Necks,Jake Elliott,K,PHI,14 sec (4 min 46 sec),149.0,105.0
15,10,Steel Your League,Cowboys,DST,DAL,6 sec (4 min 51 sec),316.0,226.9
15,11,OnStar,Rex Burkhead RB •,,,40 sec (5 min 20 sec),77.7,0.0
15,12,Three-Eyed RAVEN,*Robbie Gould K •,,,0 sec (10 min 8 sec),175.0,25.0
