Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
1,1,Prometheus Out of Bounds,Jonathan Taylor,RB,IND,,159.4,159.4
1,2,Dude Abides,Christian McCaffrey,RB,SF,9 sec,449.6,342.0
1,3,Soaring Marmots,Derrick Henry,RB,BAL,8 sec,355.8,337.0
1,4,Juggernaut,Cam Akers,RB,SEA,1 min 1 sec,156.3,127.2
1,5,Mulvihill Machine,Austin Ekeler,RB,WAS,18 sec,404.0,376.7
1,6,Rumblin' Stumblers,Dalvin Cook,RB,DAL,15 sec,268.1,252.4
1,7,Pallino Primos,Joe Mixon,RB,HOU,16 sec,284.8,226.7
1,8,Chicken Dinner,Najee Harris,RB,LAC,23 sec,228.5,214.5
1,9,Ruff Necks,Alvin Kamara,RB,NO,7 sec,221.8,204.8
1,10,Steel Your League,Davante Adams,WR,LAR,41 sec,379.0,366.7
1,11,OnStar,Patrick Mahomes,QB,KC,12 sec,673.5,573.3
1,12,Three-Eyed RAVEN,Stefon Diggs,WR,NE,48 sec,382.8,323.5
2,1,Three-Eyed RAVEN,D'Andre Swift,RB,CHI,41 sec,196.1,130.9
2,2,OnStar,Aaron Jones,RB,MIN,29 sec,273.6,221.5
2,3,Steel Your League,Nick Chubb,RB,HOU,10 sec,318.4,295.2
2,4,Ruff Necks,Travis Kelce,TE,KC,22 sec,423.0,336.5
2,5,Chicken Dinner,Javonte Williams,RB,DAL,55 sec,42.1,42.1
2,6,Pallino Primos,Mark Andrews,TE,BAL,36 sec,217.8,205.5
2,7,Rumblin' Stumblers,Saquon Barkley,RB,PHI,8 sec,343.6,305.5
2,8,Mulvihill Machine,Tyreek Hill,WR,MIA,36 sec,405.7,372.0
2,9,Juggernaut,Justin Herbert QB • LAC (Keeper),,,0 sec,386.1,292.4
2,10,Soaring Marmots,Cooper Kupp WR • SEA (Keeper),,,0 sec,231.5,231.5
2,11,Dude Abides,Kyle Pitts,TE,ATL,43 sec,75.6,33.6
2,12,Prometheus Out of Bounds,Tom Brady QB •,,,5 sec,413.2,251.9
3,1,Prometheus Out of Bounds,James Conner,RB,ARI,9 sec,205.2,183.1
3,2,Dude Abides,Dameon Pierce,RB,PHI,41 sec,179.4,141.5
3,3,Soaring Marmots,Kyler Murray,QB,MIN,10 sec,242.2,242.2
3,4,Juggernaut,J.K. Dobbins,RB,DEN,0 sec,111.7,24.7
3,5,Mulvihill Machine,DJ Moore,WR,BUF,49 sec,216.4,196.1
3,6,Rumblin' Stumblers,Lamar Jackson,QB,BAL,40 sec,287.5,287.5
3,7,Pallino Primos,Chris Godwin,WR,TB,7 sec,251.3,216.8
3,8,Chicken Dinner,Keenan Allen,WR,LAC,49 sec,186.1,126.4
3,9,Ruff Necks,A.J. Brown,WR,PHI,17 sec,361.2,314.1
3,10,Steel Your League,Ezekiel Elliott,RB,LAC,8 sec,196.4,73.1
3,11,OnStar,Kareem Hunt,RB,KC,34 sec,126.9,77.2
3,12,Three-Eyed RAVEN,David Montgomery,RB,HOU,56 sec,182.7,133.3
4,1,Three-Eyed RAVEN,George Kittle,TE,SF,52 sec,234.3,186.6
4,2,OnStar,Darren Waller,TE,MIA,38 sec,84.8,26.0
4,3,Steel Your League,Allen Robinson,WR,DET,52 sec,84.9,17.5
4,4,Ruff Necks,Travis Etienne,RB,NO,12 sec,268.2,167.7
4,5,Chicken Dinner,AJ Dillon,RB,CAR,51 sec,167.6,60.8
4,6,Pallino Primos,Michael Thomas,WR,NO,7 sec,51.1,28.4
4,7,Rumblin' Stumblers,Mike Evans WR • SF  (Keeper),,,0 sec,264.8,249.4
4,8,Mulvihill Machine,Breece Hall,RB,NYJ,29 sec,129.1,116.1
4,9,Juggernaut,Kenneth Walker III,RB,KC,0 sec,247.8,165.3
4,10,Soaring Marmots,Josh Jacobs,RB,GB,29 sec,367.3,345.6
4,11,Dude Abides,Brandin Cooks,WR,BUF,8 sec,150.6,32.4
4,12,Prometheus Out of Bounds,Jaylen Waddle,WR,DEN,6 sec,302.4,283.9
5,1,Prometheus Out of Bounds,Michael Pittman WR • PIT  (Keeper),,,0 sec,226.5,117.8
5,2,Dude Abides,Christian Kirk,WR,SF,8 sec,299.2,228.5
5,3,Soaring Marmots,Diontae Johnson,WR,CLE,47 sec,180.7,172.9
5,4,Juggernaut,Damien Harris,RB,BUF,0 sec,91.2,64.1
5,5,Mulvihill Machine,Jalen Hurts,QB,PHI,20 sec,542.3,441.3
5,6,Rumblin' Stumblers,Chase Edmonds,RB,WAS,33 sec,74.2,15.6
5,7,Pallino Primos,Mike Williams WR • LAC  (Keeper),,,0 sec,196.5,159.2
5,8,Chicken Dinner,Tony Pollard,RB,TEN,38 sec,295.0,209.8
5,9,Ruff Necks,Ja'Marr Chase WR • CIN (Keeper),,,0 sec,317.9,241.0
5,10,Steel Your League,Joe Burrow,QB,CIN,30 sec,524.5,449.7
5,11,OnStar,Terry McLaurin,WR,WAS,21 sec,249.7,233.3
5,12,Three-Eyed RAVEN,Jerry Jeudy,WR,CLE,55 sec,221.2,129.1
6,1,Three-Eyed RAVEN,Clyde Edwards-Helaire,RB,KC,45 sec,98.3,48.0
6,2,OnStar,Dallas Goedert,TE,PHI,33 sec,182.3,47.3
6,3,Steel Your League,DK Metcalf,WR,PIT,7 sec,277.4,196.2
6,4,Ruff Necks,Antonio Gibson,RB,NE,54 sec,165.9,21.7
6,5,Chicken Dinner,Aaron Rodgers,QB,PIT,48 sec,297.8,78.5
6,6,Pallino Primos,Matthew Stafford,QB,LAR,11 sec,131.8,0.0
6,7,Rumblin' Stumblers,Courtland Sutton WR • DEN  (Keeper),,,0 sec,164.4,106.7
6,8,Mulvihill Machine,Dalton Schultz,TE,HOU,21 sec,184.9,62.8
6,9,Juggernaut,Trevor Lawrence,QB,JAC,0 sec,427.7,13.2
6,10,Soaring Marmots,T.J. Hockenson,TE,MIN,7 sec,253.3,196.0
6,11,Dude Abides,Elijah Mitchell,RB,NE,40 sec,59.5,4.1
6,12,Prometheus Out of Bounds,Tee Higgins WR • CIN (Keeper),,,0 sec,278.7,195.1
7,1,Prometheus Out of Bounds,Dawson Knox,TE,BUF,10 sec,158.2,9.6
7,2,Dude Abides,Amon-Ra St. Brown,WR,DET,7 sec,287.6,276.7
7,3,Soaring Marmots,Rams,DST,LAR,5 sec,207.0,82.1
7,4,Juggernaut,Tyler Allgeier,RB,ARI,1 sec,171.4,5.1
7,5,Mulvihill Machine,Darnell Mooney,WR,NYG,13 sec,101.9,24.0
7,6,Rumblin' Stumblers,Bills,DST,BUF,11 sec,279.5,179.5
7,7,Pallino Primos,Rashaad Penny RB •,,,56 sec,59.2,5.4
7,8,Chicken Dinner,CeeDee Lamb WR • DAL  (Keeper),,,0 sec,371.1,310.8
7,9,Ruff Necks,Russell Wilson,QB,NYG,21 sec,249.0,86.1
7,10,Steel Your League,Devin Singletary,RB,NYG,46 sec,199.9,26.7
7,11,OnStar,Miles Sanders,RB,DAL,6 sec,262.3,212.4
7,12,Three-Eyed RAVEN,Cordarrelle Patterson,RB,PIT,49 sec,164.7,37.3
8,1,Three-Eyed RAVEN,Josh Allen QB • BUF  (Keeper),,,0 sec,573.8,495.1
8,2,OnStar,*Browns,DST,CLE,1 min 2 sec,214.1,208.1
8,3,Steel Your League,Leonard Fournette RB •  (Keeper),,,0 sec,234.1,193.9
8,4,Ruff Necks,DeAndre Hopkins,WR,BAL,38 sec,161.7,135.8
8,5,Chicken Dinner,Pat Freiermuth,TE,PIT,46 sec,148.2,148.2
8,6,Pallino Primos,Allen Lazard,WR,NYJ,48 sec,179.8,29.7
8,7,Rumblin' Stumblers,David Njoku,TE,CLE,42 sec,142.8,88.3
8,8,Mulvihill Machine,49ers,DST,SF,27 sec,369.3,84.8
8,9,Juggernaut,Melvin Gordon RB •,,,0 sec,87.1,64.1
8,10,Soaring Marmots,JuJu Smith-Schuster,WR,KC,6 sec,214.2,128.7
8,11,Dude Abides,Rhamondre Stevenson,RB,NE,9 sec,261.5,167.8
8,12,Prometheus Out of Bounds,Buccaneers,DST,TB,5 sec,227.0,157.0
9,1,Prometheus Out of Bounds,Ryan Succop K •,,,2 sec,133.0,91.0
9,2,Dude Abides,Dak Prescott,QB,DAL,11 sec,325.4,214.5
9,3,Soaring Marmots,Nyheim Miller-Hines,RB,NO,3 sec,85.6,8.0
9,4,Juggernaut,*Mike Gesicki,TE,CIN,1 sec,107.7,19.8
9,5,Mulvihill Machine,Gabe Davis,WR,BUF,14 sec,215.3,149.2
9,6,Rumblin' Stumblers,Tyler Bass,K,BUF,24 sec,160.0,141.0
9,7,Pallino Primos,James Robinson,RB,NO,32 sec,97.6,57.3
9,8,Chicken Dinner,Cole Kmet,TE,CHI,47 sec,147.3,55.3
9,9,Ruff Necks,Adam Thielen,WR,PIT,60 sec,188.0,20.4
9,10,Steel Your League,Tyler Higbee,TE,LAR,7 sec,152.0,92.4
9,11,OnStar,*Amari Cooper,WR,LV,0 sec,271.0,263.9
9,12,Three-Eyed RAVEN,Hunter Renfrow,WR,CAR,53 sec,79.0,0.0
10,1,Three-Eyed RAVEN,Drake London,WR,ATL,54 sec,183.6,20.0
10,2,OnStar,*Zach Ertz,TE,WAS,0 sec,115.6,50.7
10,3,Steel Your League,Deebo Samuel WR • WAS (Keeper),,,0 sec,225.8,159.7
10,4,Ruff Necks,Tyler Lockett,WR,LV,21 sec,262.2,153.9
10,5,Chicken Dinner,Kirk Cousins,QB,LV,11 sec,410.7,275.2
10,6,Pallino Primos,Zamir White,RB,LV,16 sec,7.9,0.0
10,7,Rumblin' Stumblers,Brandon Aiyuk,WR,SF,29 sec,249.7,196.1
10,8,Mulvihill Machine,Darrell Henderson Jr. RB •,,,23 sec,73.5,18.3
10,9,Juggernaut,*Colts,DST,IND,0 sec,214.1,83.0
10,10,Soaring Marmots,Derek Carr,QB,NO,5 sec,289.5,78.2
10,11,Dude Abides,George Pickens,WR,DAL,21 sec,171.5,38.6
10,12,Prometheus Out of Bounds,DeVonta Smith,WR,PHI,12 sec,325.3,119.9
11,1,Prometheus Out of Bounds,Elijah Moore,WR,PHI,8 sec,89.1,7.1
11,2,Dude Abides,Trey Lance QB • LAC  (Keeper),,,0 sec,12.4,2.8
11,3,Soaring Marmots,Robert Woods,WR,PIT,8 sec,115.7,38.8
11,4,Juggernaut,*Marvin Jones WR •,,,0 sec,136.9,76.5
11,5,Mulvihill Machine,Justin Fields,QB,KC,52 sec,324.4,113.2
11,6,Rumblin' Stumblers,James Cook,RB,BUF,3 sec,116.9,0.0
11,7,Pallino Primos,Brian Robinson Jr.,RB,ATL,46 sec,118.3,57.6
11,8,Chicken Dinner,Isiah Pacheco,RB,DET,8 sec,178.2,1.9
11,9,Ruff Necks,Michael Carter,RB,TEN,7 sec,126.2,10.0
11,10,Steel Your League,Steelers,DST,PIT,6 sec,234.2,23.2
11,11,OnStar,*Ryan Tannehill,QB,TEN,0 sec,186.9,0.0
11,12,Three-Eyed RAVEN,Marquise Brown WR • PHI  (Keeper),,,0 sec,161.0,101.1
12,1,Three-Eyed RAVEN,Chris Olave,WR,NO,51 sec,213.2,141.2
12,2,OnStar,*Kenneth Gainwell,RB,TB,0 sec,130.7,0.0
12,3,Steel Your League,Raheem Mostert,RB,LV,51 sec,179.4,22.2
12,4,Ruff Necks,Ravens,DST,BAL,4 sec,270.5,190.6
12,5,Chicken Dinner,Justin Jefferson WR • MIN  (Keeper),,,0 sec,435.7,416.2
12,6,Pallino Primos,Michael Gallup,WR,WAS,18 sec,121.0,27.7
12,7,Rumblin' Stumblers,Nico Collins,WR,HOU,23 sec,97.1,16.6
12,8,Mulvihill Machine,Evan Engram,TE,DEN,19 sec,217.3,89.1
12,9,Juggernaut,*Sterling Shepard,WR,TB,0 sec,36.4,36.4
12,10,Soaring Marmots,Gerald Everett,TE,CHI,4 sec,167.4,21.0
12,11,Dude Abides,Romeo Doubs,WR,NE,44 sec,101.6,2.8
12,12,Prometheus Out of Bounds,Alexander Mattison,RB,MIA,7 sec,89.7,0.0
13,1,Prometheus Out of Bounds,Darrel Williams RB •,,,2 sec,21.1,0.7
13,2,Dude Abides,Packers,DST,GB,7 sec,259.1,93.2
13,3,Soaring Marmots,Julio Jones WR •,,,4 sec,90.8,0.0
