Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
1,1,Three-Eyed RAVEN,Saquon Barkley,RB,PHI,,246.4,246.4
1,2,Rumblin' Stumblers,Christian McCaffrey,RB,SF,6 sec,498.4,498.4
1,3,Mulvihill Machine,Ezekiel Elliott,RB,LAC,24 sec,314.3,314.3
1,4,He Hate me,*Julio Jones WR •,,,2 min 0 sec,289.7,289.7
1,5,No longer new guy,DeAndre Hopkins,WR,BAL,1 min 36 sec,336.4,295.6
1,6,Ruff Necks,Michael Thomas,WR,NO,1 min 5 sec,431.8,417.8
1,7,Saucemoney,Tyreek Hill,WR,MIA,27 sec,245.0,190.6
1,8,Dude Abides,David Johnson RB •,,,51 sec,141.5,121.5
1,9,Soaring Marmots,Le'Veon Bell RB •,,,30 sec,202.3,178.2
1,10,Lewd,Travis Kelce,TE,KC,1 min 9 sec,327.8,258.9
1,11,Jersey Boys,Mike Evans,WR,SF,3 min 42 sec,251.7,98.0
1,12,Pallino Primos,Odell Beckham Jr.,WR,MIA,1 min 46 sec,197.9,163.3
2,1,Pallino Primos,Joe Mixon,RB,HOU,34 sec,209.8,130.2
2,2,Jersey Boys,Keenan Allen,WR,LAC,10 sec,248.8,197.8
2,3,Lewd,Kerryon Johnson RB •,,,1 min 7 sec,78.7,73.4
2,4,Soaring Marmots,Antonio Brown,WR,TB,1 min 2 sec,16.1,16.1
2,5,Dude Abides,Aaron Jones,RB,MIN,1 min 21 sec,373.5,328.6
2,6,Saucemoney,Todd Gurley RB •,,,6 sec,208.8,208.8
2,7,Ruff Necks,Brandin Cooks,WR,BUF,49 sec,115.5,73.4
2,8,No longer new guy,Damien Williams RB •,,,1 min 10 sec,199.8,45.6
2,9,He Hate me,*Ben Roethlisberger QB •,,,0 sec,14.2,14.2
2,10,Mulvihill Machine,Leonard Fournette RB •,,,1 min 17 sec,279.4,279.4
2,11,Rumblin' Stumblers,Stefon Diggs,WR,NE,16 sec,256.5,218.3
2,12,Three-Eyed RAVEN,Devonta Freeman RB •,,,2 min 1 sec,188.3,140.6
3,1,Three-Eyed RAVEN,Amari Cooper,WR,LV,0 sec,257.7,237.1
3,2,Rumblin' Stumblers,Jameis Winston,QB,NYG,9 sec,432.0,288.2
3,3,Mulvihill Machine,Tyler Lockett,WR,LV,2 min 31 sec,283.0,239.2
3,4,He Hate me,JuJu Smith-Schuster WR • KC (Keeper),,,0 sec,118.6,118.6
3,5,No longer new guy,Deshaun Watson,QB,CLE,1 min 25 sec,460.6,356.3
3,6,Ruff Necks,Cooper Kupp,WR,SEA,1 min 33 sec,279.8,219.1
3,7,Saucemoney,Tyler Boyd,WR,TEN,52 sec,232.0,219.8
3,8,Dude Abides,Davante Adams WR • LAR (Keeper),,,0 sec,284.2,215.4
3,9,Soaring Marmots,David Montgomery,RB,HOU,1 min 19 sec,158.1,150.2
3,10,Lewd,Drew Brees QB •,,,22 sec,303.3,253.8
3,11,Jersey Boys,Tom Brady QB •,,,27 sec,340.6,282.4
3,12,Pallino Primos,O.J. Howard TE •,,,1 min 35 sec,83.9,27.5
4,1,Pallino Primos,Mark Ingram RB •,,,1 min 26 sec,266.6,262.5
4,2,Jersey Boys,Josh Jacobs,RB,GB,2 min 17 sec,216.6,203.7
4,3,Lewd,Chris Godwin,WR,TB,1 min 21 sec,308.1,261.9
4,4,Soaring Marmots,Kenny Golladay WR •,,,13 sec,267.8,267.8
4,5,Dude Abides,Hunter Henry,TE,NE,47 sec,140.0,105.0
4,6,Saucemoney,Melvin Gordon RB •,,,1 min 25 sec,161.9,150.5
