Round,Pick,Team,Player,Position,NFL Team,Elapsed Time,Total Fpts,Active Fpts
4,7,Ruff Necks,Phillip Lindsay RB •,,,49 sec,203.8,65.7
4,8,No longer new guy,Dede Westbrook WR •,,,1 min 25 sec,139.5,8.3
4,9,He Hate me,*Kenyan Drake RB •,,,0 sec,214.9,183.3
4,10,Mulvihill Machine,Calvin Ridley,WR,TEN,47 sec,207.0,200.0
4,11,Rumblin' Stumblers,Josh Gordon WR •,,,2 min 53 sec,73.7,61.5
4,12,Three-Eyed RAVEN,Duke Johnson RB •,,,2 min 26 sec,155.5,45.8
5,1,Three-Eyed RAVEN,Dalvin Cook RB • DAL (Keeper),,,0 sec,357.0,320.4
5,2,Rumblin' Stumblers,DJ Moore,WR,BUF,49 sec,250.8,238.2
5,3,Mulvihill Machine,Aaron Rodgers,QB,PIT,0 sec,388.5,332.1
5,4,He Hate me,*Jared Cook TE •,,,1 sec,167.5,143.7
5,5,No longer new guy,Christian Kirk,WR,SF,51 sec,166.6,88.0
5,6,Ruff Necks,T.Y. Hilton WR •,,,1 min 31 sec,114.9,66.4
5,7,Saucemoney,Baker Mayfield QB • TB (Keeper),,,0 sec,266.7,46.1
5,8,Dude Abides,Sony Michel RB •,,,34 sec,149.0,77.0
5,9,Soaring Marmots,Zach Ertz TE • WAS  (Keeper),,,0 sec,227.0,220.6
5,10,Lewd,Alshon Jeffery WR •,,,23 sec,127.2,27.9
5,11,Jersey Boys,Julian Edelman WR •  (Keeper),,,0 sec,282.4,269.1
5,12,Pallino Primos,Nick Chubb RB • HOU (Keeper),,,0 sec,289.0,289.0
6,1,Pallino Primos,Emmanuel Sanders WR •,,,1 min 4 sec,217.2,92.4
6,2,Jersey Boys,Vance McDonald TE •,,,60 sec,79.6,4.9
6,3,Lewd,Latavius Murray,RB,BUF,34 sec,163.2,86.2
6,4,Soaring Marmots,Tarik Cohen RB •,,,1 min 10 sec,148.7,51.3
6,5,Dude Abides,Adam Thielen WR • PIT  (Keeper),,,1 sec,152.6,113.2
6,6,Saucemoney,Jarvis Landry WR •,,,1 min 58 sec,231.2,162.9
6,7,Ruff Necks,Derrick Henry,RB,BAL,40 sec,370.1,239.8
6,8,No longer new guy,Delanie Walker TE •,,,35 sec,54.5,54.5
6,9,He Hate me,*Bills,DST,BUF,0 sec,272.7,162.7
6,10,Mulvihill Machine,T.J. Hockenson,TE,MIN,1 min 26 sec,85.7,7.8
6,11,Rumblin' Stumblers,A.J. Green WR •,,,8 sec,0.0,0.0
6,12,Three-Eyed RAVEN,Allen Robinson,WR,DET,1 min 5 sec,253.6,30.3
7,1,Three-Eyed RAVEN,Carson Wentz,QB,MIN,9 sec,338.4,339.3
7,2,Rumblin' Stumblers,Sterling Shepard,WR,TB,12 sec,143.1,101.1
7,3,Mulvihill Machine,Tevin Coleman RB •,,,1 min 42 sec,172.4,68.8
7,4,He Hate me,*Austin Ekeler,RB,WAS,0 sec,316.1,316.1
7,5,No longer new guy,Miles Sanders,RB,DAL,1 min 7 sec,229.3,137.3
7,6,Ruff Necks,David Njoku,TE,CLE,1 min 54 sec,15.1,1.4
7,7,Saucemoney,LeSean McCoy RB •,,,19 sec,118.6,66.1
7,8,Dude Abides,Matt Ryan QB •,,,27 sec,356.4,336.6
7,9,Soaring Marmots,Patriots,DST,NE,16 sec,399.3,388.3
7,10,Lewd,Matt Breida,RB,SF,39 sec,114.6,84.9
7,11,Jersey Boys,Dion Lewis RB •,,,7 sec,69.9,40.9
7,12,Pallino Primos,Lamar Jackson,QB,BAL,1 min 41 sec,572.5,502.7
8,1,Pallino Primos,Derrius Guice RB •,,,27 sec,62.4,18.7
8,2,Jersey Boys,Bears,DST,CHI,26 sec,206.1,204.1
8,3,Lewd,Vikings,DST,MIN,20 sec,290.9,150.8
8,4,Soaring Marmots,Larry Fitzgerald WR •,,,14 sec,178.9,84.3
8,5,Dude Abides,Justice Hill,RB,BAL,1 min 5 sec,44.2,0.0
8,6,Saucemoney,Austin Hooper,TE,ATL,60 sec,190.2,137.8
8,7,Ruff Necks,Devin Singletary,RB,NYG,35 sec,172.3,8.9
8,8,No longer new guy,Robert Woods WR • PIT  (Keeper),,,0 sec,227.3,192.1
8,9,He Hate me,*Jordan Reed TE •,,,0 sec,0.0,0.0
8,10,Mulvihill Machine,Jaguars,DST,JAC,53 sec,189.2,142.8
8,11,Rumblin' Stumblers,James White RB •  (Keeper),,,0 sec,201.2,169.8
8,12,Three-Eyed RAVEN,Robbie Chosen,WR,WAS,1 min 16 sec,175.5,2.0
9,1,Three-Eyed RAVEN,Sammy Watkins WR •,,,6 sec,199.9,33.3
9,2,Rumblin' Stumblers,Eric Ebron TE •,,,14 sec,86.5,10.3
9,3,Mulvihill Machine,Curtis Samuel,WR,BUF,1 min 12 sec,168.4,43.8
9,4,He Hate me,*Chris Thompson RB •,,,0 sec,91.5,47.7
9,5,No longer new guy,James Conner RB • ARI  (Keeper),,,0 sec,150.5,150.5
9,6,Ruff Necks,Chris Carson RB •  (Keeper),,,0 sec,262.8,262.8
9,7,Saucemoney,Dak Prescott,QB,DAL,53 sec,437.1,341.4
9,8,Dude Abides,Darrell Henderson Jr. RB •,,,1 min 3 sec,22.4,0.0
9,9,Soaring Marmots,Jaylen Samuels RB •,,,44 sec,102.2,45.3
9,10,Lewd,Will Fuller WR •,,,15 sec,162.9,104.3
9,11,Jersey Boys,Harrison Butker,K,KC,7 sec,182.0,46.0
9,12,Pallino Primos,Cam Newton QB •,,,1 min 12 sec,21.6,0.0
10,1,Pallino Primos,Marquez Valdes-Scantling,WR,PIT,20 sec,89.0,34.6
10,2,Jersey Boys,George Kittle TE • SF  (Keeper),,,0 sec,238.6,219.8
10,3,Lewd,Marvin Jones WR •,,,3 min 3 sec,204.3,138.0
10,4,Soaring Marmots,Patrick Mahomes QB • KC  (Keeper),,,0 sec,533.3,405.8
10,5,Dude Abides,Justin Jackson RB •,,,1 min 15 sec,30.1,0.0
10,6,Saucemoney,*Jalen Richard RB •,,,2 min 1 sec,74.9,0.0
10,7,Ruff Necks,Jared Goff QB • DET  (Keeper),,,0 sec,329.9,292.9
10,8,No longer new guy,Jordan Howard RB •,,,36 sec,111.4,0.0
10,9,He Hate me,*Texans,DST,HOU,0 sec,237.2,124.7
10,10,Mulvihill Machine,Darren Waller,TE,MIA,1 min 11 sec,224.5,212.2
10,11,Rumblin' Stumblers,*Russell Wilson,QB,NYG,0 sec,436.2,181.4
10,12,Three-Eyed RAVEN,Mark Andrews,TE,BAL,55 sec,225.1,124.6
11,1,Three-Eyed RAVEN,Evan Engram TE • DEN (Keeper),,,0 sec,122.4,91.1
11,2,Rumblin' Stumblers,Marlon Mack RB • ARI (Keeper),,,0 sec,179.6,103.4
11,3,Mulvihill Machine,Mike Williams,WR,LAC,1 min 20 sec,165.5,18.3
11,4,He Hate me,*Philip Rivers,QB,IND,0 sec,320.4,272.3
11,5,No longer new guy,Justin Tucker,K,BAL,1 min 39 sec,143.0,136.0
11,6,Ruff Necks,Kareem Hunt,RB,KC,6 sec,93.8,37.5
11,7,Saucemoney,Corey Davis WR •,,,0 sec,125.5,0.0
11,8,Dude Abides,Geronimo Allison WR •,,,1 min 39 sec,75.7,0.0
11,9,Soaring Marmots,Mohamed Sanu WR •,,,18 sec,119.7,54.1
11,10,Lewd,*Jimmy Garoppolo,QB,LAR,0 sec,341.5,110.1
11,11,Jersey Boys,Peyton Barber RB •,,,9 sec,111.1,13.8
11,12,Pallino Primos,Rams,DST,LAR,2 min 20 sec,249.4,163.0
12,1,Pallino Primos,Donte Moncrief,WR,HOU,1 min 13 sec,5.8,0.0
12,2,Jersey Boys,Rashaad Penny RB •,,,22 sec,84.3,36.0
12,3,Lewd,*Seahawks,DST,SEA,0 sec,241.1,30.4
12,4,Soaring Marmots,Reggie Bonnafon RB •,,,1 min 25 sec,26.1,0.0
12,5,Dude Abides,Damien Harris,RB,BUF,30 sec,1.2,0.0
12,6,Saucemoney,Greg Zuerlein,K,NYJ,0 sec,130.0,66.0
12,7,Ruff Necks,Eagles,DST,PHI,6 sec,249.6,110.5
12,8,No longer new guy,Kyler Murray,QB,MIN,2 min 1 sec,320.2,50.0
12,9,He Hate me,*Jimmy Graham,TE,NO,0 sec,109.6,41.4
12,10,Mulvihill Machine,Stephen Gostkowski K •,,,1 min 4 sec,33.0,33.0
12,11,Rumblin' Stumblers,*Browns,DST,CLE,0 sec,189.9,4.0
12,12,Three-Eyed RAVEN,Ravens,DST,BAL,1 min 52 sec,289.9,286.9
13,1,Three-Eyed RAVEN,DK Metcalf,WR,PIT,1 min 10 sec,215.9,97.7
13,2,Rumblin' Stumblers,*Cowboys,DST,DAL,0 sec,200.3,129.8
13,3,Mulvihill Machine,Nick Foles QB •,,,46 sec,43.1,0.0
13,4,He Hate me,*Darwin Thompson RB •,,,0 sec,30.7,0.0
13,5,No longer new guy,Chiefs,DST,KC,29 sec,279.6,37.0
13,6,Ruff Necks,Derek Carr,QB,NO,11 sec,280.4,26.1
13,7,Saucemoney,Kyle Rudolph TE •,,,0 sec,129.2,45.3
13,8,Dude Abides,Panthers,DST,CAR,19 sec,186.1,17.0
13,9,Soaring Marmots,Robbie Gould K •,,,13 sec,141.0,29.0
13,10,Lewd,Alvin Kamara RB • NO  (Keeper),,,0 sec,249.4,229.9
13,11,Jersey Boys,Kirk Cousins,QB,LV,48 sec,354.6,62.5
13,12,Pallino Primos,Wil Lutz,K,DEN,1 min 57 sec,172.0,84.0
14,1,Pallino Primos,John Brown WR •,,,45 sec,247.9,77.0
14,2,Jersey Boys,Marqise Lee WR •,,,13 sec,4.9,0.0
14,3,Lewd,*Jack Doyle TE •,,,0 sec,110.2,17.1
14,4,Soaring Marmots,Josh Allen,QB,BUF,20 sec,349.2,62.0
14,5,Dude Abides,Chase Edmonds,RB,WAS,11 sec,88.9,3.3
14,6,Saucemoney,Chargers,DST,LAC,0 sec,165.9,44.0
14,7,Ruff Necks,Matt Bryant K •,,,1 min 20 sec,48.0,19.0
14,8,No longer new guy,Dante Pettis,WR,NO,1 min 6 sec,34.7,0.0
14,9,He Hate me,*Trey Burton TE •,,,0 sec,22.4,0.0
14,10,Mulvihill Machine,Jamison Crowder,WR,WAS,1 min 57 sec,177.1,109.5
14,11,Rumblin' Stumblers,*Tony Pollard,RB,TEN,0 sec,93.1,2.8
14,12,Three-Eyed RAVEN,Jake Elliott,K,PHI,47 sec,106.0,58.0
15,1,Three-Eyed RAVEN,Marquise Brown,WR,PHI,23 sec (12 min 10 sec),175.7,28.6
15,2,Rumblin' Stumblers,*Ka'imi Fairbairn,K,HOU,0 sec (4 min 47 sec),122.0,70.0
15,3,Mulvihill Machine,Kalen Ballage RB •,,,1 min 8 sec (17 min 38 sec),51.9,0.0
15,4,He Hate me,*Matt Prater,K,BUF,0 sec (2 min 1 sec),125.0,125.0
15,5,No longer new guy,Royce Freeman,RB,LAC,2 min 2 sec (16 min 2 sec),140.9,30.7
15,6,Ruff Necks,Miles Boykin,WR,CHI,8 sec (10 min 47 sec),56.4,0.0
15,7,Saucemoney,Carlos Hyde RB •,,,0 sec (9 min 1 sec),189.4,52.2
15,8,Dude Abides,Mason Crosby K •,,,17 sec (10 min 20 sec),109.0,44.0
15,9,Soaring Marmots,Cameron Brate TE •,,,14 sec (7 min 58 sec),83.9,3.7
15,10,Lewd,*Mike Badgley,K,BUF,0 sec (9 min 13 sec),61.0,29.0
15,11,Jersey Boys,Sam Darnold,QB,SEA,22 sec (10 min 10 sec),226.2,8.8
15,12,Pallino Primos,Courtland Sutton,WR,DEN,1 min 32 sec (17 min 52 sec),225.6,105.3
