Round,Pick,Team,Player,Position,NFL Team,Elapsed Time
8,10,No longer new guy,Boston Scott,RB,PIT,15 sec
8,11,Lewd,Marvin Jones WR •,,,58 sec
8,12,OnStar,Brandin Cooks,WR,BUF,27 sec
9,1,OnStar,Aaron Rodgers,QB,PIT,47 sec
9,2,Lewd,Wil Lutz,K,DEN,29 sec
9,3,No longer new guy,Tony Pollard,RB,TEN,45 sec
9,4,Ruff Necks,Hayden Hurst,TE,LAC,9 sec
9,5,Steel Your League,George Kittle TE • SF  (Keeper),,,0 sec
9,6,Chicken Dinner,CeeDee Lamb,WR,DAL,20 sec
9,7,Mulvihill Machine,Marlon Mack,RB,ARI,1 min 50 sec
9,8,Soaring Marmots,Patrick Mahomes QB • KC  (Keeper),,,0 sec
9,9,Rumblin' Stumblers,Russell Wilson QB • NYG (Keeper),,,0 sec
9,10,Dude Abides,Jared Goff,QB,DET,1 min 54 sec
9,11,Pallino Primos,James Robinson,RB,NO,11 sec
9,12,Three-Eyed RAVEN,Mark Andrews TE • BAL  (Keeper),,,0 sec
10,1,Three-Eyed RAVEN,Josh Allen,QB,BUF,6 sec
10,2,Pallino Primos,Noah Fant,TE,NO,1 min 31 sec
10,3,Dude Abides,Patriots,DST,NE,12 sec
10,4,Rumblin' Stumblers,David Montgomery,RB,HOU,0 sec
10,5,Soaring Marmots,Rob Gronkowski TE •,,,17 sec
10,6,Mulvihill Machine,Jonnu Smith,TE,PIT,27 sec
10,7,Chicken Dinner,Jerry Jeudy,WR,CLE,28 sec
10,8,Steel Your League,Matthew Stafford,QB,LAR,39 sec
10,9,Ruff Necks,Ben Roethlisberger QB •,,,35 sec
10,10,No longer new guy,Rams,DST,LAR,60 sec
10,11,Lewd,Jared Cook TE •,,,21 sec
10,12,OnStar,DeVante Parker WR •,,,51 sec
11,1,OnStar,Emmanuel Sanders WR •,,,1 min 8 sec
11,2,Lewd,Cam Newton QB •,,,15 sec
11,3,No longer new guy,Kyler Murray QB • MIN  (Keeper),,,0 sec
11,4,Ruff Necks,Chargers,DST,LAC,8 sec
11,5,Steel Your League,Bears,DST,CHI,8 sec
11,6,Chicken Dinner,Mike Gesicki,TE,CIN,1 min 10 sec
11,7,Mulvihill Machine,Gardner Minshew,QB,ARI,1 min 19 sec
11,8,Soaring Marmots,Nyheim Miller-Hines,RB,NO,13 sec
11,9,Rumblin' Stumblers,Kerryon Johnson RB •,,,0 sec
11,10,Dude Abides,Blake Jarwin TE •,,,40 sec
11,11,Pallino Primos,Chris Herndon TE •,,,22 sec
11,12,Three-Eyed RAVEN,DeSean Jackson WR •,,,31 sec
12,1,Three-Eyed RAVEN,Chiefs,DST,KC,4 sec
12,2,Pallino Primos,Chris Thompson RB •,,,1 min 10 sec
12,3,Dude Abides,Alexander Mattison,RB,MIA,22 sec
12,4,Rumblin' Stumblers,Austin Hooper,TE,ATL,0 sec
12,5,Soaring Marmots,Justin Tucker,K,BAL,13 sec
12,6,Mulvihill Machine,Harrison Butker,K,KC,25 sec
12,7,Chicken Dinner,Daniel Jones,QB,IND,1 min 19 sec
12,8,Steel Your League,Jack Doyle TE •,,,10 sec
12,9,Ruff Necks,T.J. Hockenson,TE,MIN,16 sec
12,10,No longer new guy,Younghoe Koo,K,NYG,1 min 10 sec
12,11,Lewd,Sammy Watkins WR •,,,8 sec
12,12,OnStar,Eagles,DST,PHI,18 sec
13,1,OnStar,Dallas Goedert,TE,PHI,43 sec
13,2,Lewd,Golden Tate,WR,TEN,29 sec
13,3,No longer new guy,Deebo Samuel,WR,WAS,35 sec
13,4,Ruff Necks,Joe Burrow,QB,CIN,27 sec
13,5,Steel Your League,Ronald Jones RB •,,,14 sec
13,6,Chicken Dinner,Vikings,DST,MIN,35 sec
13,7,Mulvihill Machine,Darius Slayton,WR,NYG,33 sec
13,8,Soaring Marmots,Jalen Richard RB •,,,9 sec
13,9,Rumblin' Stumblers,Duke Johnson RB •,,,0 sec
13,10,Dude Abides,Greg Zuerlein,K,NYJ,27 sec
13,11,Pallino Primos,Ryan Succop K •,,,3 min 14 sec
13,12,Three-Eyed RAVEN,Dan Bailey K •,,,52 sec
14,1,Three-Eyed RAVEN,Michael Pittman,WR,PIT,3 sec
14,2,Pallino Primos,Damien Harris,RB,BUF,39 sec
14,3,Dude Abides,Ryan Tannehill,QB,TEN,14 sec
14,4,Rumblin' Stumblers,Jerick McKinnon,RB,KC,0 sec
14,5,Soaring Marmots,Jalen Reagor,WR,LAC,44 sec
14,6,Mulvihill Machine,Chase Edmonds,RB,WAS,46 sec
14,7,Chicken Dinner,Justin Jefferson,WR,MIN,1 min 53 sec
14,8,Steel Your League,Robbie Gould K •,,,6 sec
14,9,Ruff Necks,Mike Badgley,K,BUF,37 sec
14,10,No longer new guy,Hunter Renfrow,WR,CAR,1 min 4 sec
14,11,Lewd,Laviska Shenault Jr.,WR,BUF,4 sec
14,12,OnStar,Matt Prater,K,BUF,1 min 11 sec
15,1,OnStar,Tevin Coleman RB •,,,1 min 2 sec
15,2,Lewd,Malcolm Perry WR •,,,3 sec
15,3,No longer new guy,Baker Mayfield,QB,TB,2 min 2 sec
15,4,Ruff Necks,Brandon Aiyuk,WR,SF,7 sec
15,5,Steel Your League,Titans,DST,TEN,9 sec
15,6,Chicken Dinner,Matt Gay,K,SF,28 sec
15,7,Mulvihill Machine,Sony Michel RB •,,,19 sec
15,8,Soaring Marmots,Teddy Bridgewater,QB,DET,10 sec
15,9,Rumblin' Stumblers,Zane Gonzalez,K,MIA,0 sec
15,10,Dude Abides,Parris Campbell,WR,DAL,1 min 32 sec
15,11,Pallino Primos,Preston Williams WR •,,,43 sec
15,12,Three-Eyed RAVEN,Anthony Miller,WR,BAL,7 sec
