Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
1,1,1,Three-Eyed RAVEN,Saquon Barkley,RB,False,False,,,246.4,246.4
1,2,2,Rumblin' Stumblers,Christian McCaffrey,RB,False,False,6 sec,,498.4,498.4
1,3,3,Mulvihill Machine,Ezekiel Elliott,RB,False,False,24 sec,,314.3,314.3
1,4,4,He Hate me,Julio Jones WR •,WR,False,True,2 min 0 sec,,289.7,289.7
1,5,5,No longer new guy,DeAndre Hopkins,WR,False,False,1 min 36 sec,,336.4,295.6
1,6,6,Ruff Necks,Michael Thomas,WR,False,False,1 min 5 sec,,431.8,417.8
1,7,7,Saucemoney,Tyreek Hill,WR,False,False,27 sec,,245.0,190.6
1,8,8,Dude Abides,David Johnson RB •,RB,False,False,51 sec,,141.5,121.5
1,9,9,Soaring Marmots,Le'Veon Bell RB •,RB,False,False,30 sec,,202.3,178.2
1,10,10,Lewd,Travis Kelce,TE,False,False,1 min 9 sec,,327.8,258.9
1,11,11,Jersey Boys,Mike Evans,WR,False,False,3 min 42 sec,,251.7,98.0
1,12,12,Pallino Primos,Odell Beckham Jr.,WR,False,False,1 min 46 sec,,197.9,163.3
2,1,13,Pallino Primos,Joe Mixon,RB,False,False,34 sec,,209.8,130.2
2,2,14,Jersey Boys,Keenan Allen,WR,False,False,10 sec,,248.8,197.8
2,3,15,Lewd,Kerryon Johnson RB •,RB,False,False,1 min 7 sec,,78.7,73.4
2,4,16,Soaring Marmots,Antonio Brown,WR,False,False,1 min 2 sec,,16.1,16.1
2,5,17,Dude Abides,Aaron Jones,RB,False,False,1 min 21 sec,,373.5,328.6
2,6,18,Saucemoney,Todd Gurley RB •,RB,False,False,6 sec,,208.8,208.8
2,7,19,Ruff Necks,Brandin Cooks,WR,False,False,49 sec,,115.5,73.4
2,8,20,No longer new guy,Damien Williams RB •,RB,False,False,1 min 10 sec,,199.8,45.6
2,9,21,He Hate me,Ben Roethlisberger QB •,QB,False,True,0 sec,,14.2,14.2
2,10,22,Mulvihill Machine,Leonard Fournette RB •,RB,False,False,1 min 17 sec,,279.4,279.4
2,11,23,Rumblin' Stumblers,Stefon Diggs,WR,False,False,16 sec,,256.5,218.3
2,12,24,Three-Eyed RAVEN,Devonta Freeman RB •,RB,False,False,2 min 1 sec,,188.3,140.6
3,1,25,Three-Eyed RAVEN,Amari Cooper,WR,False,False,0 sec,,257.7,237.1
3,2,26,Rumblin' Stumblers,Jameis Winston,QB,False,False,9 sec,,432.0,288.2
3,3,27,Mulvihill Machine,Tyler Lockett,WR,False,False,2 min 31 sec,,283.0,239.2
3,4,28,He Hate me,JuJu Smith-Schuster WR • KC,WR,True,False,0 sec,,118.6,118.6
3,5,29,No longer new guy,Deshaun Watson,QB,False,False,1 min 25 sec,,460.6,356.3
3,6,30,Ruff Necks,Cooper Kupp,WR,False,False,1 min 33 sec,,279.8,219.1
3,7,31,Saucemoney,Tyler Boyd,WR,False,False,52 sec,,232.0,219.8
3,8,32,Dude Abides,Davante Adams WR • LAR,WR,True,False,0 sec,,284.2,215.4
3,9,33,Soaring Marmots,David Montgomery,RB,False,False,1 min 19 sec,,158.1,150.2
3,10,34,Lewd,Drew Brees QB •,QB,False,False,22 sec,,303.3,253.8
