Round 1
1,Three-Eyed RAVEN,Dalvin Cook RB | DAL (Keeper),,0 sec
2,Pallino Primos,Nick Chubb RB | HOU (Keeper),,0 sec
3,Dude Abides,Kareem Hunt RB | KC,,38 sec
4,Rumblin' Stumblers,Darren Waller TE | MIA ,,0 sec
5,Soaring Marmots,Hunter Henry TE | NE,,56 sec
6,Mulvihill Machine,Raheem Mostert RB | LV ,,1 min 28 sec
7,Chicken Dinner,Tyler Lockett WR | LV,,36 sec
8,Steel Your League,T.Y. Hilton WR |  ,,49 sec
9,Ruff Necks,DJ Chark WR | ATL ,,1 min 8 sec
10,No longer new guy,Odell Beckham Jr. WR | MIA ,,1 min 29 sec
11,Lewd,DK Metcalf WR | PIT,,5 sec
12,OnStar,Carson Wentz QB | MIN ,,12 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Evan Engram TE | DEN,,52 sec
2,Lewd,Marquise Brown WR | PHI ,,6 sec
3,No longer new guy,Keenan Allen WR | LAC,,1 min 38 sec
4,Ruff Necks,Derrick Henry RB | BAL (Keeper),,0 sec
5,Steel Your League,Drew Brees QB | ,,18 sec
6,Chicken Dinner,Mark Ingram RB | ,,1 min 5 sec
7,Mulvihill Machine,Deshaun Watson QB | CLE ,,34 sec
8,Soaring Marmots,Robert Woods WR | PIT ,,8 sec
9,Rumblin' Stumblers,Steelers DST | PIT  (Keeper),,0 sec
10,Dude Abides,A.J. Brown WR | PHI ,,1 min 25 sec
11,Pallino Primos,Courtland Sutton WR | DEN ,,1 min 59 sec
12,Three-Eyed RAVEN,James White RB | ,,1 min 38 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Three-Eyed RAVEN,Antonio Gibson RB | NE ,,60 sec
2,Pallino Primos,Lamar Jackson QB | BAL  (Keeper),,0 sec
3,Dude Abides,Michael Gallup WR | WAS,,1 min 8 sec
4,Rumblin' Stumblers,Devin Singletary RB | NYG ,,0 sec
5,Soaring Marmots,Ravens DST | BAL ,,45 sec
6,Mulvihill Machine,Tyler Higbee TE | LAR ,,32 sec
7,Chicken Dinner,J.K. Dobbins RB | DEN ,,1 min 22 sec
8,Steel Your League,Stefon Diggs WR | NE ,,12 sec
9,Ruff Necks,Will Fuller WR | ,,1 min 34 sec
10,No longer new guy,Miles Sanders RB | DAL  (Keeper),,0 sec
11,Lewd,Terry McLaurin WR | WAS,,39 sec
12,OnStar,Austin Ekeler RB | WAS  (Keeper),,0 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Tyler Boyd WR | TEN,,30 sec
2,Lewd,49ers DST | SF ,,17 sec
3,No longer new guy,Christian Kirk WR | SF ,,1 min 43 sec
4,Ruff Necks,D'Andre Swift RB | CHI,,11 sec
5,Steel Your League,Diontae Johnson WR | CLE,,26 sec
6,Chicken Dinner,Leonard Fournette RB | ,,46 sec
7,Mulvihill Machine,Colts DST | IND ,,1 min 13 sec
8,Soaring Marmots,Zack Moss RB | CIN ,,13 sec
9,Rumblin' Stumblers,Phillip Lindsay RB | ,,0 sec
10,Dude Abides,A.J. Green WR | ,,1 min 49 sec
11,Pallino Primos,Jarvis Landry WR | ,,1 min 15 sec
12,Three-Eyed RAVEN,Matt Breida RB | SF,,1 min 26 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Three-Eyed RAVEN,Henry Ruggs III WR | ,,52 sec
2,Pallino Primos,Bills DST | BUF ,,8 sec
3,Dude Abides,Latavius Murray RB | BUF,,13 sec
4,Rumblin' Stumblers,Julian Edelman WR | ,,0 sec
5,Soaring Marmots,Sterling Shepard WR | TB,,1 min 11 sec
6,Mulvihill Machine,Jamison Crowder WR | WAS,,1 min 47 sec
7,Chicken Dinner,Dak Prescott QB | DAL  (Keeper),,0 sec
8,Steel Your League,Jordan Howard RB | ,,33 sec
9,Ruff Necks,Chris Carson RB |  (Keeper),,0 sec
10,No longer new guy,Boston Scott RB | PIT ,,15 sec
11,Lewd,Marvin Jones WR | ,,58 sec
12,OnStar,Brandin Cooks WR | BUF,,27 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Aaron Rodgers QB | PIT ,,47 sec
2,Lewd,Wil Lutz K | DEN,,29 sec
3,No longer new guy,Tony Pollard RB | TEN,,45 sec
